,firm1,firm2,sim
152,ALTR,MOSY,0.248455428067
153,ALTR,MRVC,0.198834196891
154,ALTR,MSCC,0.211361737678
155,ALTR,MU,0.236865538736
156,ALTR,MXIM,0.242677824268
157,ALTR,NVDA,0.21018793274
158,ALTR,OCLR,0.163220892274
159,ALTR,ON,0.228397944886
160,ALTR,OSIS,0.190167292591
161,ALTR,OVTI,0.243055555556
162,ALTR,PLAB,0.152212389381
163,ALTR,PMCS,0.218118195956
164,ALTR,POWI,0.209631728045
165,ALTR,PXLW,0.196753566158
166,ALTR,QUIK,0.261963492847
167,ALTR,RMBS,0.225697786333
168,ALTR,SIGM,0.220483005367
169,ALTR,SLAB,0.224694104561
170,ALTR,SMTC,0.253710575139
171,ALTR,SUNE,0.225137537029
172,ALTR,SWKS,0.219277108434
173,ALTR,TSRA,0.156818181818
174,ALTR,TXN,0.163483146067
175,ALTR,VIAV,0.20256204964
176,ALTR,XLNX,0.324725011956
177,AMAT,ADI,0.176288019863
178,AMAT,AFOP,0.160409556314
179,AMAT,ALTR,0.170616113744
180,AMAT,AMAT,1.0
181,AMAT,AMCC,0.160894344586
182,AMAT,AMD,0.172777498744
183,AMAT,AMKR,0.160703812317
184,AMAT,ANAD,0.172363986519
185,AMAT,ATML,0.17004048583
186,AMAT,AXTI,0.181732580038
187,AMAT,BRCM,0.135871743487
188,AMAT,CCMP,0.194552529183
189,AMAT,CEVA,0.142467248908
190,AMAT,CREE,0.15928484356
191,AMAT,CRUS,0.14598540146
192,AMAT,CY,0.154035231463
193,AMAT,DIOD,0.177083333333
194,AMAT,DSPG,0.131931859369
195,AMAT,EMAN,0.15536971831
196,AMAT,EMKR,0.147195537651
197,AMAT,EXAR,0.132046332046
198,AMAT,FCS,0.137407407407
199,AMAT,FNSR,0.133680555556
200,AMAT,FORM,0.172606568833
201,AMAT,IDTI,0.166197183099
202,AMAT,INTC,0.149652777778
203,AMAT,ISIL,0.160407725322
204,AMAT,ISSI,0.159817351598
205,AMAT,IXYS,0.183226495726
206,AMAT,KOPN,0.169039145907
207,AMAT,LLTC,0.147362978283
208,AMAT,LPTH,0.131185652607
209,AMAT,LSCC,0.149132947977
210,AMAT,MCHP,0.140488656195
211,AMAT,MOSY,0.16257367387
212,AMAT,MRVC,0.135248773651
213,AMAT,MSCC,0.159847764034
214,AMAT,MU,0.155112219451
215,AMAT,MXIM,0.173566878981
216,AMAT,NVDA,0.148726851852
217,AMAT,OCLR,0.158258465791
218,AMAT,ON,0.166846071044
219,AMAT,OSIS,0.141132075472
220,AMAT,OVTI,0.168287937743
221,AMAT,PLAB,0.167580266249
222,AMAT,PMCS,0.148817204301
223,AMAT,POWI,0.142546245919
224,AMAT,PXLW,0.157369348209
225,AMAT,QUIK,0.145981410607
226,AMAT,RMBS,0.164804469274
227,AMAT,SIGM,0.146686899342
228,AMAT,SLAB,0.139590854392
229,AMAT,SMTC,0.176995798319
230,AMAT,SUNE,0.176499032882
231,AMAT,SWKS,0.15144766147
232,AMAT,TSRA,0.133189344852
233,AMAT,TXN,0.146011396011
234,AMAT,VIAV,0.137232845894
235,AMAT,XLNX,0.171573604061
236,AMCC,ADI,0.211759082218
237,AMCC,AFOP,0.188420518029
238,AMCC,ALTR,0.269387755102
239,AMCC,AMAT,0.160894344586
240,AMCC,AMCC,1.0
241,AMCC,AMD,0.260059296908
242,AMCC,AMKR,0.201376146789
243,AMCC,ANAD,0.252035830619
244,AMCC,ATML,0.231729879741
245,AMCC,AXTI,0.232394366197
246,AMCC,BRCM,0.263272727273
247,AMCC,CCMP,0.166353383459
248,AMCC,CEVA,0.195015303892
249,AMCC,CREE,0.214534075104
250,AMCC,CRUS,0.243734981119
251,AMCC,CY,0.275175212099
252,AMCC,DIOD,0.225179552176
253,AMCC,DSPG,0.23417513939
254,AMCC,EMAN,0.212402525065
255,AMCC,EMKR,0.237389569678
256,AMCC,EXAR,0.297022512709
257,AMCC,FCS,0.226776859504
258,AMCC,FNSR,0.256839394915
259,AMCC,FORM,0.174860618348
260,AMCC,IDTI,0.246550137994
261,AMCC,INTC,0.25787965616
262,AMCC,ISIL,0.221883173496
263,AMCC,ISSI,0.241635687732
264,AMCC,IXYS,0.279695203944
265,AMCC,KOPN,0.201011959522
266,AMCC,LLTC,0.220751494449
267,AMCC,LPTH,0.217208182912
268,AMCC,LSCC,0.201646090535
269,AMCC,MCHP,0.223308270677
