inv_num,pnum_str
04753709-5,"6713361, 6448121"
04754421-1,"6791365, 6978387, 6970967, 6910123, 6703884, 6657484, 6430684, 6344759, 6327218, 6304123, 6261879, 6231147, 6223248, 6177300, 6246266, 6242952, 6078634, 6065146, 6055204, 6049231, 6040716, 6037808, 6021087, 6553547, 6338137, 6366941, 6279077, 6049672"
04754431-1,6914805
04755696-1,"6957322, 6826704, 6438664, 6175908, 6141745, 6106573, 6101595, 6073230, 6088781, 6079006, 6957319, 6944744, 6845442, 6298424, 6202139, 6058461, 6076156, 6151662"
04755746-3,"6770847, 6329831, 6100101, 6075293"
04755770-1,"6472856, 6583610, 6495995"
04755936-3,"6393529, 6370621, 6950438, 6748442, 6728841, 6721813, 6694424, 6687789, 6651161, 6622237, 6622235, 6704854, 6564315, 6560694, 6553430, 6542984, 6473849, 6434640, 6965973, 6877076, 6848024, 6625685, 6393546, 6938094, 6888843, 6745272, 6714994, 6647490, 6636959, 6631401, 6546478, 6529999, 6502185, 6490661, 6275905, 6266763, 6745272, 6952791, 6941406, 6851004, 6633936, 6748479, 6389526, 6385705, 6557048, 6167492"
04756321-2,"6957021, 6941077"
04756968-1,6297076
04757275-2,6724260
04757359-1,"6302964, 6086677, 6364954"
04757536-3,6768905
04758888-1,"6810139, 6366690"
04760346-1,"6614313, 6342817"
04761567-1,"6360347, 6584594, 6438726"
04761567-2,6014728
04761605-1,"6621256, 6058030, 6016067"
04761615-1,"6980144, 6967608, 6940438, 6696998"
04761617-1,"6043746, 6720866"
04762728-4,6645353
04763086-3,6630845
04764248-2,"6143663, 6302766, 6200896, 6361415, 6566249, 6969684, 6171180"
04764778-1,6051499
04764933-1,"6972907, 6859330, 6822996, 6661815, 6775076"
04765397-1,"6971442, 6967840, 6936497, 6845622, 6837306, 6785134, 6706562, 6650542, 6646874, 6921706, 6862183, 6795311, 6770966, 6653730, 6661660, 6639799"
04765713-2,6197989
04766367-3,"6566958, 6469578, 6456161"
04766372-1,"6943419, 6940367, 6861783, 6822535, 6816035, 6808954, 6753639, 6713314, 6706981, 6662419, 6650204, 6943648, 6975184, 6903452, 6855946, 6852926, 6852492, 6848177, 6753541, 6787970, 6673697, 6967548, 6812814, 6686820"
04766471-5,"6867425, 6770524"
04766561-1,6271715
04766561-2,"6842895, 6751759"
04766746-10,"6917522, 6885557"
04766842-1,"6864565, 6407450, 6693342, 6914317, 6303469"
04767040-1,"6956444, 6930888, 6700455"
04768157-2,"6907538, 6732235, 6624682, 6624678, 6600345, 6918025, 6438720, 6334181, 6311264, 6263419, 6263418, 6253307, 6249860, 6249859, 6247111, 6243801, 6240505, 6240504, 6134578, 6038649"
04769291-3,"6716754, 6155900, 6561864, 6554671, 6447354, 6375149, 6287487, 6280274, 6172454, 6165390, 6682628, 6823693, 6734619, 6716080, 6545406, 6533893, 6495296, 6464824, 6428943, 6422906, 6372405, 6372404, 6383934, 6329750, 6190929, 6712664, 6794704, 6417605, 6037711, 6812990, 6361391, 6183329"
04769564-1,"6513125, 6510510, 6061779, 6332188"
04769683-3,"6855627, 6500756, 6559017"
04769785-1,"6656831, 6716733, 6605531, 6528180, 6430458, 6080665, 6079354, 6110828, 6537905, 6726776, 6458684, 6355560, 6509274, 6207222, 6139905, 6077781, 6066358, 6120844, 6743714, 6169030, 6139697, 6017144"
04769804-3,"6912634, 6738878"
04769927-2,"6612800, 6468018"
04770739-2,"6849515, 6797440, 6593033"
04771018-1,6664620
04771018-2,"6399474, 6512675, 6508845, 6538320, 6483169"
04771228-2,"6975473, 6798591, 6735030, 6879455"
04771419-4,"6680954, 6490317, 6246738, 6188692, 6088369"
04771425-3,"6430186, 6188690, 6151301, 6147997, 6134218, 6449274, 6445705, 6396809, 6226298"
04771430-3,6368404
04773046-1,"6359808, 6353566, 6550028, 6463003, 6307787, 6259633, 6327181, 6212108, 6208556, 6201753, 6185128, 6118698, 6111787, 6400638, 6400633, 6621761, 6611473, 6229735, 6240040, 6125058, 6134146, 6351420, 6347052, 6507527, 6243316"
04773663-1,6775076
04774197-1,"6723638, 6654283, 6043122, 6953752, 6934190, 6795342, 6768683, 6754109, 6737703, 6646914, 6700201, 6524914, 6456531, 6438037, 6236596, 6188609, 6172909, 6240016, 6400608, 6911704, 6894932, 6868014, 6862221, 6735124, 6589841, 6548334, 6518072, 6510085, 6469939, 6465835, 6448608, 6294430, 6252276, 6172914, 6122198, 6046932, 6894925, 6808996, 6653189, 6583009, 6455373, 6452840, 6337246, 6269023, 6268624, 6252803, 6248627, 6410956, 6275415, 6025240, 6266275, 6157572, 6958272, 6735114"
04774630-3,6906406
04774654-4,"6944746, 6931494, 6963613, 6957306"
04775550-1,6841470
04775845-1,"6658557, 6584586"
04775870-1,"6341320, 6029215, 6285911"
04776804-6,"6400573, 6707124, 6274391"
04776958-1,"6936916, 6870276, 6916683, 6503781, 6400574"
04779262-3,"6876863, 6463271, 6405060"
04780424-2,"6908227, 6762629, 6788156, 6855946, 6753541"
04780906-2,6108680
04782034-3,"6090530, 6875687, 6583071, 6825562, 6806203, 6514857, 6204168, 6589715, 6780753, 6238844, 6573030, 6936551, 6841341, 6576568, 6896955"
04782380-2,"6324756, 6241907"
04782439-1,"6809538, 6924510, 6847617, 6747474, 6741107, 6894536, 6845424"
04782439-3,6925591
04782444-1,"6678755, 6937246, 6784895, 6784892, 6734867, 6469700, 6084600"
04782519-7,6738964
04783635-1,"6271720, 6271719, 6344773, 6121908"
04783649-2,"6952431, 6937073, 6861916"
04783766-4,"6822325, 6917095, 6835979, 6717203, 6806552"
04783808-2,"6396457, 6282706"
04784966-1,6239003
04784973-3,"6940171, 6930058, 6924969, 6905956, 6828252, 6787877, 6777351, 6808983, 6617230, 6602807, 6100186, 6596641, 6503851, 6500730, 6433378, 6372643, 6368986, 6384466, 6306766, 6198144, 6175155, 6171948, 6090708"
04785279-1,6526144
04785323-1,"6717798, 6665010"
04785342-3,"6653676, 6294420"
04785349-1,"6904174, 6941021, 6771830"
04785393-3,"6457061, 6691168, 6631466, 6611875, 6510509"
04785396-3,"6226757, 6075730"
04785424-2,"6687165, 6949953, 6885589, 6906965, 6822908, 6900625, 6788037, 6765376, 6593726, 6842385, 6738298"
04785962-1,"6599076, 6454508, 6454519, 6545420, 6068784, 6488807, 6518195, 6251792"
04786855-1,"6198236, 6144250, 6118263, 6097178, 6091235"
04787958-1,"6974776, 6949398, 6953985"
04788431-3,6828996
04789284-1,"6542986, 6408379, 6625726, 6357024, 6351801, 6493819, 6442707, 6035386, 6446215, 6446189"
04789760-3,"6399401, 6251545, 6208747, 6207966, 6178221, 6159643, 6098408, 6872497, 6696847, 6716571, 6623893, 6710853, 6608321, 6556286, 6593035, 6544693, 6535280, 6515272, 6057206, 6645679, 6627355, 6593037, 6740566, 6544885, 6440640, 6309926, 6306560, 6200907, 6184128, 6171763, 6165695, 6140023, 6162587, 6127070, 6156658, 6020269"
04789793-3,6107979
04789883-1,6166439
04790637-2,"6867921, 6791759"
04791273-1,"6207959, 6331713, 6878946, 6908836"
04791313-3,6271978
04791324-1,"6946890, 6577689, 6861968, 6842486, 6559692"
04792748-1,"6281717, 6124818"
04792786-3,6621259
04792835-4,6687973
04792981-1,6943844
04793253-1,"6090208, 6306282, 6524969"
04793515-2,"6253287, 6125441, 6041405, 6694424, 6651161, 6622237"
04794002-3,6111652
04794250-1,"6817782, 6668113, 6533603, 6439918, 6955482, 6953289"
04794281-2,"6967472, 6954057, 6914793, 6900622, 6882134, 6876181, 6833692, 6784646, 6781357, 6750640, 6747444, 6747443, 6744645, 6687101, 6667605, 6643153, 6608471, 6580622, 6538908, 6525514, 6462971, 6438003, 6456475, 6414471, 6388853, 6366481, 6362981, 6356464, 6351398, 6337788, 6313976, 6304462, 6297623, 6249876, 6229366, 6226190, 6212079, 6154377, 6147883, 6107851, 6084277"
04794591-1,6483342
04795518-2,"6703815, 6700360, 6703816"
04795918-1,"6501677, 6366128, 6222757, 6218858, 6960933, 6810458, 6617877, 6777980, 6525565, 6489837, 6445245"
04796075-1,"6476630, 6690185, 6940093, 6825052, 6621260, 6603324, 6597187, 6551844, 6456099, 6429029, 6150199"
04796229-2,"6961715, 6310652, 6256348, 6230270, 6192427, 6775778, 6757829, 6711683, 6567906, 6369855, 6310657, 6266754, 6230278"
04796270-2,"6528767, 6924462"
04796864-1,"6782068, 6696883"
04797372-4,"6128232, 6025275, 6020640"
04797538-1,6690076
04797631-1,"6334249, 6907438, 6973469, 6882976, 6823087, 6738522, 6689686, 6329282, 6323553, 6150252, 6143645, 6077774, 6054382, 6911689, 6677232, 6660650, 6573167, 6451677, 6207561, 6077782, 6037013, 6120842, 6677239, 6884724, 6680249, 6641867, 6424040, 6194313, 6184129, 6245605, 6245672, 6896776, 6811680, 6100188, 6811470"
04797631-2,"6177772, 6035320, 6011415, 6021015"
04799023-4,"6621354, 6549079, 6522206"
04799210-2,6909554
04799770-2,6952504
04799992-1,"6297130, 6239003"
04800296-2,6380593
04800340-1,"6655002, 6504685, 6473274"
04800340-2,"6563655, 6553541"
04800517-1,"6021133, 6014719, 6480086, 6230255, 6218931, 6212551, 6115762, 6108390, 6070136, 6067515, 6044343, 6032247, 6032116, 6026130"
04800535-1,6647423
04800838-1,6340395
04801555-3,"6812517, 6898129, 6828618, 6751125"
04801999-1,"6936501, 6124546"
04802088-2,"6339728, 6474476, 6124546, 6449170"
04802129-1,6928005
04802459-2,6538233
04803124-1,6534392
04803622-7,"6907487, 6880031, 6807592, 6804735"
04803665-1,"6100754, 6397313, 6310805, 6275412, 6125055, 6163478, 6297993, 6331950, 6662262, 6571307, 6633949, 6470414, 6275894, 6033955"
04804490-2,"6674115, 6797979"
04804880-1,6663243
04804928-1,"6707282, 6617758, 6548973"
04805003-1,6965128
04805023-2,"6134392, 6128539, 6362835, 6232936, 6219627, 6300924, 6948050, 6260088, 6070003, 6116768, 6098163"
04805071-1,"6737326, 6534364, 6432791, 6396109, 6352887, 6033946, 6706635, 6284617, 6236101, 6153451, 6025231, 6734491, 6979615, 6424005, 6683380, 6144100, 6284669"
04805071-2,"6534364, 6284617, 6236101, 6153451, 6025231, 6424005, 6683380, 6144100, 6284669"
04805128-1,6215507
04805131-1,"6721925, 6708321, 6643836, 6640329, 6947425, 6976095, 6952824, 6876561, 6895457, 6823438, 6792488, 6687246, 6668311, 6667920, 6671827, 6728845, 6681300, 6661794, 6668317, 6934951, 6694380"
04805138-3,"6675333, 6158035, 6085344"
04805139-1,"6246774, 6119194, 6058066, 6047073, 6785885, 6654845"
04805148-2,6472233
04805198-1,"6265901, 6242959, 6774694, 6429712, 6326828"
04806189-2,"6876070, 6816014, 6573795, 6483382, 6809569, 6803823, 6643752, 6549070, 6275034, 6072676, 6819137, 6539072, 6125157"
04806202-2,"6648730, 6656028, 6413356"
04806852-1,"6076179, 6195772"
04806852-3,"6693917, 6847614"
04806921-3,"6812474, 6819450"
04807043-2,"6389557, 6370642, 6345345, 6340898, 6904043, 6769055, 6732184, 6721277, 6651172, 6625146, 6546010, 6535489, 6529503, 6526370, 6463542, 6477170, 6317847, 6229817, 6115779, 6070248, 6070194, 6049885, 6041328, 6731601, 6725270, 6563790, 6504846, 6424591, 6501734, 6442137"
04807189-2,6088280
04808259-2,"6613691, 6602434, 6402885, 6387287, 6361705, 6503367, 6183655, 6174451, 6074959, 6120640, 6030486, 6528751, 6488862, 6308654, 6020686, 6010603, 6699399, 6475335, 6379575, 6500357, 6270617, 6248250, 6238588, 6136211, 6488807, 6471822, 6518195, 6270687, 6251792, 6071372, 6949203, 6454898, 6440866, 6218312, 6189484, 6074512, 6036877, 6024826, 6669858, 6858153, 6340435, 6352049"
04808259-3,"6943071, 6849896"
04808273-3,"6368949, 6743666, 6670259, 6518173, 6417571, 6291339, 6043153, 6355575, 6737337, 6312874, 6258683, 6140706, 6124203, 6156643, 6867130, 6841832, 6964875, 6642119, 6624476, 6472317, 6335273, 6259115, 6255735, 6143672, 6873051, 6967160, 6689688, 6537866, 6333263, 6251776, 6204136, 6171919, 6093635, 6060380, 6200913, 6969678, 6232663"
04808857-3,6115282
04808884-3,"6931494, 6888246, 6790759, 6537918, 6291356, 6689249, 6284093"
04809269-1,"6389526, 6385705, 6404771, 6952751, 6944725, 6892332, 6889262, 6862641, 6857033, 6968460, 6836813, 6832317, 6823451, 6823403, 6816935, 6963948, 6791554, 6766347, 6760852, 6798418, 6697890, 6690676, 6671748, 6651128, 6631401, 6625743, 6611891, 6601178, 6704763, 6557048, 6532019, 6502123, 6499079, 6473663, 6470410, 6457084, 6457081, 6421751, 6421702, 6418459, 6336179, 6279058, 6263385, 6216052, 6202164, 6199132, 6195749, 6167492, 6148357, 6134698, 6122749, 6122313, 6101560, 6151651, 6088748, 6061802, 6058443, 6044414, 6032213, 6085270, 6012111, 6618782"
04809317-2,"6961312, 6850510, 6970434"
04809351-3,6931461
04810523-3,"6703260, 6706559, 6979598, 6919229, 6803657, 6796028, 6602730, 6110761, 6528867, 6506628, 6500697, 6492713, 6489681, 6483044, 6436732, 6336974, 6331448, 6329705, 6204093, 6200833, 6200832, 6194251, 6083768, 6040205, 6017776, 6946732, 6911735, 6890384, 6818460, 6569753, 6525408, 6485778, 6346152, 6336973, 6316952, 6013535, 6642730, 6544461, 6353326"
04810948-1,6806859
04811082-3,6476470
04811091-4,"6900138, 6699743, 6677661, 6670288, 6756634, 6635530, 6559057, 6461985, 6458663, 6429151, 6326321, 6316372, 6300671, 6300253, 6093956, 6010941, 6677650, 6900515, 6605532, 6458649, 6423582, 6440850, 6376358, 6309973, 6083803, 6693345, 6693014, 6710420, 6967146, 6593206, 6482707, 6417559, 6410951, 6406977, 6372601, 6323139, 6329267, 6238999"
04811208-2,"6671780, 6757784, 6725341, 6711662"
04811208-4,"6925553, 6721866, 6694426, 6687810, 6735688"
04811364-1,"6952764, 6928647, 6925550, 6880069, 6735682, 6981129, 6877086, 6785803, 6735688, 6792446, 6665792"
04811796-1,"6345353, 6205539"
04812096-1,6947469
04812687-1,6333623
04812961-1,"6130575, 6111439"
04813023-1,"6476648, 6359475, 6384762, 6201491"
04814283-2,6060795
04815874-2,"6919530, 6559411"
04817096-2,6246102
04818326-1,"6140705, 6030861, 6033975"
04818326-3,"6110838, 6592676, 6180491, 6114741"
04819047-1,"6372627, 6661246, 6566888, 6518661, 6469529, 6285036, 6171944, 6069366, 6352871, 6833718, 6455334, 6897664, 6844928, 6635839, 6700659"
04819068-1,"6150930, 6081294"
04819068-2,"6465350, 6351039, 6114186, 6803641, 6919233, 6876021, 6645804"
04819969-1,"6631508, 6904397"
04820278-1,6899801
04821224-3,6975557
04822084-1,"6857092, 6754760, 6870397, 6851047"
04823098-2,"6545554, 6697613"
04823312-3,6934922
04824624-1,6616767
04824767-1,"6846752, 6818548, 6703685"
04824793-1,"6232644, 6083809, 6627938, 6429087, 6496352, 6380008, 6373088, 6033975"
04824803-3,6476635
04825087-2,"6909588, 6919150, 6746805, 6359286, 6100536, 6515408"
04825108-1,"6934872, 6980918, 6885233, 6789037, 6771134, 6924710, 6809606"
04825108-2,"6654944, 6642763"
04825277-2,6570212
04825337-1,"6893976, 6828674, 6713829, 6686993, 6555904, 6448109, 6441481, 6946742, 6534340, 6508561, 6933163, 6964882"
04827119-1,"6760205, 6466055, 6624668, 6882224, 6956442"
04827138-1,"6686300, 6634018, 6553558, 6100477, 6686102, 6139483"
04827428-2,"6873187, 6486705"
04827610-3,"6958260, 6673400"
04829024-4,"6768144, 6906945, 6856535, 6593630, 6414359, 6285088, 6091626, 6721217, 6141240, 6809954, 6757206"
04829475-1,6201757
04829475-2,"6968408, 6345008, 6366529, 6611469, 6311234, 6145027"
04829476-1,"6828859, 6819710, 6362606, 6968055, 6897730, 6894565, 6816011, 6788141, 6771696, 6662238, 6549071, 6462620, 6448847, 6392488, 6969680, 6304597, 6826225, 6737698, 6735246, 6724891, 6714590, 6927630, 6917245, 6727754, 6389134, 6323796, 6289070, 6201865, 6144326, 6516024, 6480602, 6504864, 6498825, 6442213, 6307891, 6442271"
04829536-7,6510888
04830456-2,"6753219, 6969649"
04830972-1,"6469648, 6489909"
04831252-3,6954177
04831285-1,"6774694, 6429712, 6326828"
04831286-2,"6741503, 6486704"
04831570-1,"6038649, 6516408, 6658578"
04831573-1,"6882176, 6570404, 6285211, 6259588, 6243304, 6184707, 6034857, 6020760, 6020758, 6014334, 6353552, 6317367, 6219284, 6151258, 6011744, 6011730"
04832789-3,6125788
04833399-1,"6775049, 6965470, 6842549, 6654516, 6298370, 6170049, 6148389, 6179489, 6105119"
04833649-1,6836755
04833651-1,"6466049, 6980030, 6172518"
04833651-2,"6728891, 6473852, 6157265, 6885215, 6373256"
04834207-3,6079607
04834502-1,"6963071, 6825988, 6809327, 6968850, 6809328"
04834674-3,"6965248, 6965244, 6948940, 6917210, 6911835, 6911814, 6910268, 6891385, 6882546, 6882239, 6845491, 6822529, 6816031, 6812691, 6798225, 6784677, 6784674, 6686754, 6680659, 6678850, 6661316, 6646520, 6622103, 6606014, 6606575, 6603323, 6559671, 6539531, 6538538, 6501343, 6499121, 6480978, 6459343, 6452411, 6448865, 6218910, 6208225, 6949942, 6657455, 6456103, 6339338"
04835120-1,"6975025, 6821823, 6710444"
04835421-1,6542540
04835487-2,6891488
04835628-2,"6662336, 6646822, 6530060, 6516443, 6505320, 6504664, 6272659, 6271776, 6185175, 6108151, 6052815, 6048090, 6047395, 6125469, 6018626"
04835649-1,6246184
04835721-3,6041340
04836308-3,"6487674, 6469650, 6377198, 6522274, 6857002, 6525589"
04836681-1,6853526
04836861-2,6150199
04837113-3,"6277733, 6967173, 6713402, 6342446, 6958294, 6599829, 6251771, 6838300, 6727185"
04837179-2,6466098
04837183-2,6906381
04837534-1,"6831561, 6137422, 6342843, 6198392, 6545605, 6466130, 6452496, 6326889, 6822438, 6563299"
04837665-1,"6754862, 6976239"
04837786-2,"6912605, 6819539, 6816976, 6754725, 6700807, 6976105, 6580623, 6577297, 6541879, 6925554, 6467042, 6737877"
04839653-1,"6466096, 6803827, 6549053"
04839896-2,"6493163, 6208481, 6021011, 6646822, 6108151"
04841770-1,6961847
04842683-6,"6555183, 6326690, 6214714, 6297152, 6294466, 6090706, 6548402, 6533894, 6932871, 6821891, 6705246, 6432479, 6395128, 6235646, 6193813, 6159867, 6705246, 6159867, 6533894, 6395128, 6235646, 6607976, 6365495, 6270621, 6193836, 6179925, 6079356, 6027606, 6123864, 6663713, 6936906, 6933021, 6908865, 6355106, 6319728, 6184150, 6171661, 6309713, 6066836, 6063441, 6040022, 6106625, 6699530, 6849545, 6482746, 6402806, 6242347, 6155198, 6296712, 6020270, 6099649, 6103014, 6905541, 6291343, 6270859, 6129044, 6939804"
04843131-6,"6919054, 6952504, 6849334"
04843380-1,6281873
04843383-3,"6892322, 6825689, 6823282, 6765407, 6611220, 6603330, 6573753, 6507214, 6957242, 6952778, 6370635, 6892310, 6868500, 6854067, 6829190, 6813672, 6798299, 6753739, 6661724, 6542025, 6515551, 6338109, 6320811, 6237107, 6191660, 6172542, 6981090, 6608472, 6971004"
04843394-1,6061410
04843394-3,"6090149, 6940345"
04843674-1,6813753
04843856-3,6940716
04844869-1,"6191040, 6010964, 6878507, 6274292, 6187484, 6605502, 6121133, 6495450, 6423631, 6331379, 6174590, 6900515, 6423582, 6461950, 6281100"
04845749-1,"6965881, 6959394, 6950523, 6834112"
04846928-4,"6596584, 6265286, 6071779"
04847674-4,"6383939, 6372651, 6365509, 6355546, 6586339, 6534411, 6515328, 6291329, 6271154, 6218310, 6159860, 6110779, 6159794, 6074956, 6025268, 6011289, 6352930, 6878622, 6867097, 6232002, 6174819"
04849067-4,6228741
04849847-2,6856661
04851078-2,"6455379, 6909146, 6255195, 6246090, 6812108"
04851710-1,"6886126, 6885714, 6763036, 6973101, 6539051, 6944691, 6081866, 6385745, 6377587"
04851720-2,"6961919, 6693452, 6886092, 6522167, 6798239, 6662285, 6243664"
04851788-1,"6838829, 6919776, 6847168, 6768265"
04852057-1,6822951
04852083-3,"6571106, 6961715, 6192427, 6310652, 6272615, 6230278"
04852122-3,6892339
04852145-2,"6222745, 6881100"
04852356-1,"6446336, 6293184, 6782700, 6199381, 6038874, 6880452, 6536326"
04852708-1,"6784736, 6710655, 6710654"
04853344-1,"6900501, 6740548, 6727127, 6548869"
04853626-1,"6539510, 6175530, 6560665"
04853846-6,"6718416, 6715111, 6721918"
04854154-1,6319556
04854727-2,"6654698, 6608495, 6583509, 6572321, 6955517, 6456894, 6455921, 6408220, 6361618, 6506009, 6231725, 6303395, 6046100, 6514390, 6228186, 6217721, 6171455, 6126791, 6783639, 6368469"
04855684-1,"6876070, 6028481, 6483382"
04855798-2,"6618186, 6528835, 6150214, 6099132, 6053617, 6077735, 6753219, 6969649"
04855954-3,"6714041, 6873177"
04855969-1,"6574760, 6243841"
04856811-3,"6558008, 6511187"
04857770-1,"6278308, 6081136, 6593632, 6440839, 6137126, 6087872"
04857780-1,"6819516, 6236524"
04857835-1,"6813738, 6804725, 6779133, 6769080, 6763488, 6763487, 6763485, 6975980, 6963225, 6959408, 6898544, 6877122, 6944247, 6954080, 6717429, 6731106, 6694467, 6694465, 6678188, 6658615, 6728915, 6646460, 6643810, 6636076, 6727722, 6594789, 6590225, 6560734, 6519729, 6499070, 6611934, 6490641, 6442721, 6408413, 6405335, 6393081, 6378095, 6378093, 6326801, 6304987, 6363443, 6262587, 6260165, 6362015, 6223315, 6199182, 6189115, 6166557, 6242269, 6081916, 6073254, 6131171, 6055659, 6046600, 6766487, 6898749, 6894308, 6711707, 6675333, 6324662, 6158035, 6085344"
04858186-1,6831862
04859304-1,"6696783, 6712664, 6676471, 6864927, 6846739, 6825596, 6780491, 6806812, 6735456, 6734619, 6733354, 6716080, 6638445, 6126845, 6110394, 6555896, 6545406, 6532375, 6500040, 6495956, 6491559, 6423239, 6422906, 6417605, 6417102, 6409564, 6398608, 6369505, 6346931, 6333264, 6312965, 6299499, 6291941, 6290562, 6285135, 6329750, 6255772, 6232218, 6201977, 6186850, 6184153, 6222257, 6176752, 6169371, 6165374, 6081246, 6095882, 6080325, 6074926, 6066507, 6060219, 6056615, 6049089, 6027790, 6027619, 6020683, 6013943, 6012958, 6010917, 6633113, 6133056, 6127777, 6100640, 6524154, 6515414, 6509677, 6507329, 6504291, 6441634, 6429835, 6429582, 6356250, 6266034, 6255769, 6228667, 6181308, 6172456, 6064075, 6059936, 6057638, 6054808, 6093072, 6037711, 6033278, 6024620, 6361391, 6183329"
04859304-3,6974774
04859578-3,"6222936, 6907308"
04859626-1,"6066893, 6496352, 6135460, 6699745, 6204198, 6605482, 6326281, 6287924, 6197653"
04860192-2,"6816932, 6678767, 6629218, 6449701, 6766389, 6877076, 6865633, 6681302, 6633938, 6625685, 6526483"
04860197-1,"6823418, 6760031, 6725349, 6717581, 6734862, 6820087"
04860232-1,6271784
04860288-2,"6799134, 6734743, 6909301"
04862346-4,6501761
04862409-1,"6819156, 6927608, 6617887, 6535030, 6784822, 6677879, 6621307, 6611218, 6586964, 6501339"
04862417-2,"6839778, 6651134, 6556487, 6499089, 6256249, 6166991, 6363031, 6292403, 6286118, 6262936, 6262937, 6445645, 6115836, 6069839, 6388927, 6385128, 6359316"
04865685-1,"6767843, 6686616, 6583454, 6486502, 6316793, 6246076, 6121633, 6011279, 6972436, 6956238, 6770911, 6303475, 6107142, 6100169, 6514779, 6344663"
04866005-2,"6974720, 6964917, 6639247, 6530990, 6396080, 6403982, 6218680, 6200917, 6217662, 6025289, 6849874"
04866005-3,"6296956, 6086672, 6048813, 6045613, 6045612, 6066205, 6063185"
04866402-1,"6031427, 6212397"
04866505-1,"6911727, 6621158, 6323550"
04866559-3,"6125024, 6009757"
04866976-1,"6332518, 6070705"
04868522-1,"6618780, 6374313, 6594716, 6480948, 6314480"
04868565-2,6492928
04868624-1,"6821029, 6650720, 6624668, 6462594, 6356160"
04868967-5,"6896422, 6821032"
04868992-1,"6886989, 6707970, 6694076, 6907147, 6692161"
04869077-1,6248656
04870304-2,"6380724, 6087872"
04870373-1,"6916689, 6947721, 6586676"
04870474-1,"6780749, 6768212, 6873059, 6583483, 6225703"
04870478-3,"6912376, 6806830"
04870598-1,6218225
04870622-2,"6167474, 6484274, 6490631, 6804772, 6650880, 6081888"
04870650-1,6939059
04871555-1,"6751448, 6928599"
04871688-1,"6908812, 6795338, 6768665, 6673648, 6903401, 6825109, 6555463, 6452223, 6372629, 6356495, 6246604, 6180508, 6914310, 6780740, 6600191, 6426528, 6420249, 6380913, 6329686, 6054733, 6770531, 6674115, 6953743, 6903010, 6881667, 6861351, 6764934, 6753243, 6632736, 6624517, 6136637, 6110777, 6548390, 6509250, 6489226, 6455407, 6423620, 6406954, 6391756, 6368887, 6342435, 6335270, 6291340, 6171872, 6081034, 6074926, 6034480, 6790663, 6784502, 6600190, 6599800, 6124163, 6469389, 6380023, 6312988, 6274423, 6060783, 6015729, 6787401, 6750091, 6740552, 6607944, 6410948, 6194746, 6130137, 6836468, 6696879, 6947513, 6941124, 6836472, 6825773, 6774685, 6771613, 6735183, 6721289, 6600428, 6157230, 6130602, 6466634, 6492192, 6351190, 6384648, 6337634, 6314440, 6249185, 6278698, 6198357, 6198332"
04871912-2,6869892
04871930-3,6034541
04872056-2,"6292784, 6029140"
04872103-1,"6452459, 6232845, 6075418, 6069849, 6219305, 6144262, 6882182"
04872168-2,"6898746, 6934670, 6829553, 6665627"
04872168-3,"6631487, 6574761, 6550030, 6530049"
04872356-2,"6331213, 6330729, 6076217"
04872356-4,"6702647, 6663470, 6956538, 6922253, 6913519, 6969297, 6840840, 6830666, 6827630, 6793558, 6786805, 6786799, 6780095, 6780082, 6773332, 6755718, 6739952, 6736698, 6734121, 6733363, 6722957, 6714121, 6642140, 6626734, 6652370, 6623329, 6613105, 6612900, 6612328, 6609947, 6602380, 6139402, 6152808, 6585575, 6572440, 6559054, 6547639, 6531401, 6514130, 6514125, 6540588, 6506101, 6544109, 6537915, 6537190, 6453932, 6447369, 6482077, 6419572, 6416402, 6390910, 6364757, 6364746, 6354930, 6352466, 6344126, 6312558, 6306008, 6273796, 6234878, 6213144, 6206754, 6187681, 6217727, 6672949, 6706139, 6949011, 6945855, 6921318, 6146246, 6102782, 6428404, 6425802, 6419560, 6402601, 6361411, 6306014, 6290576, 6261163, 6248001, 6196899, 6699791, 6817928, 6858538, 6749489, 6720266, 6472325, 6468912, 6461964, 6492273, 6394883, 6368193, 6358127, 6193588"
04872947-3,"6843258, 6818529, 6610354, 6887776, 6880561, 6869838, 6857387, 6902682, 6500265, 6500356, 6207304, 6451390, 6444277, 6338874, 6825134, 6167834"
04872947-4,"6167834, 6251190, 6206967, 6162715, 6099904"
04872947-5,"6878206, 6767176, 6521292, 6302965, 6379466, 6503331, 6302964, 6086677, 6730175, 6375748, 6223447, 6079356, 6589352, 6827815, 6603269, 6494955, 6517592, 6364954, 6206971, 6461435, 6167834"
04872947-6,"6589437, 6572732, 6444084, 6361644, 6036878, 6217785, 6193836, 6027606, 6090303, 6551446, 6494986, 6468388, 6453842, 6444085, 6410449, 6514376, 6365063, 6348126, 6252354, 6194325, 6165311, 6063233, 6634313, 6544429, 6939434, 6444137, 6440221, 6238588, 6095084, 6623596, 6524432, 6077384, 6054013, 6893907, 6545420, 6440866, 6218312, 6167834, 6068784, 6036877, 6488807, 6454898, 6518195, 6251792, 6074512, 6024826, 6721162, 6414834, 6108189"
04872947-7,6167834
04872947-8,"6648740, 6532866, 6896584, 6393337, 6374508, 6506104, 6283692, 6277010, 6146463, 6143127, 6293853, 6086457, 6036583, 6106378, 6287386, 6126517, 6082951, 6080046, 6103014, 6575737, 6468353, 6167834"
