inv_num,pnum_str
03886017-2,"6939735, 6927095, 6849953, 6846700, 6821815, 6774306, 6707149, 6687842, 6686015, 6586955, 6570101, 6541852, 6518662, 6486547, 6468836, 6437240, 6441488, 6130116, 6114763, 6370032, 6104087, 6096574, 6365975, 6044548, 6030856, 6012224, 6365436, 6329607, 6307260, 6306752, 6303408, 6294040, 6281588, 6274820, 6266874, 6265765, 6265759, 6239384, 6239386, 6238938, 6228685, 6228686, 6218213, 6204091, 6202298, 6373141, 6194291, 6191368, 6147400, 6420661, 6965158, 6921713, 6897090, 6891255, 6870272, 6848173, 6828668, 6723584, 6675469, 6664621, 6627478, 6603209, 6589819, 6525429, 6489674, 6429112, 6117694, 6080932, 6080603, 6359335, 6358780, 6338982, 6333207, 6300231, 6232152, 6217972, 6208025, 6133639, 6938338, 6737265, 6361959, 6357112, 6286205, 6205660, 6202297, 6255723"
03886058-1,"6875656, 6438439, 6104487"
03886401-1,"6642832, 6188033, 6710695, 6229426"
03887373-2,6953985
03887872-1,6307441
03887882-1,"6444036, 6500742, 6291343, 6251758, 6309713"
03888819-2,"6204455, 6020220, 6252301"
03889098-2,6763724
03889151-1,"6919530, 6559411"
03889237-2,"6954849, 6950924, 6898699, 6842842"
03890362-1,"6958783, 6963613"
03890564-4,"6753219, 6969649, 6023084"
03890630-1,"6897543, 6794715, 6785109, 6777721"
03891480-1,"6865106, 6714441"
03892973-2,"6465795, 6515282"
03892973-3,"6610354, 6576110, 6869838, 6927169, 6514850, 6040022, 6825134, 6770134, 6444277, 6372633, 6503375, 6338874, 6167834, 6020270, 6109206, 6170428, 6893907, 6721162, 6414834, 6108189"
03895147-1,"6701607, 6696912, 6696360, 6689660, 6686766, 6683337, 6710538, 6674672, 6710428, 6670703, 6664806, 6661058, 6656813, 6979855, 6976300, 6970053, 6958302, 6953996, 6953730, 6953375, 6948230, 6936849, 6930346, 6927666, 6965123, 6921702, 6919266, 6914800, 6914278, 6962866, 6960538, 6903003, 6900716, 6900521, 6900122, 6900116, 6910260, 6894532, 6893984, 6893933, 6890843, 6890812, 6884739, 6884706, 6881627, 6879017, 6906402, 6903444, 6853522, 6853288, 6852613, 6852167, 6850141, 6846738, 6844256, 6844203, 6838763, 6838726, 6835638, 6835111, 6833317, 6833308, 6833285, 6828656, 6825747, 6822545, 6821802, 6818937, 6817087, 6815804, 6815303, 6858865, 6858444, 6858120, 6803326, 6794735, 6794709, 6794255, 6794246, 6790791, 6790684, 6787888, 6787413, 6787370, 6812137, 6781876, 6812109, 6812100, 6779250, 6777770, 6774491, 6774050, 6772362, 6767795, 6806805, 6756298, 6746893, 6744082, 6738240, 6737887, 6737740, 6762500, 6734510, 6762478, 6731531, 6730567, 6729928, 6762068, 6720655, 6720221, 6760967, 6756875, 6756673, 6639268, 6635948, 6653208, 6633074, 6653196, 6612019, 6608378, 6607956, 6600339, 6646534, 6143655, 6143124, 6141260, 6137167, 6125062, 6122187, 6121126, 6156374, 6117619, 6104061, 6100176, 6097242, 6150687, 6586792, 6576542, 6566731, 6559491, 6556068, 6552564, 6552383, 6548107, 6544846, 6534420, 6531945, 6531727, 6541859, 6541362, 6514828, 6514820, 6512695, 6539490, 6504224, 6504201, 6498362, 6496034, 6495955, 6495436, 6535101, 6534855, 6468387, 6465375, 6465298, 6456157, 6454912, 6492233, 6452839, 6452831, 6448601, 6441479, 6432724, 6429632, 6429120, 6424034, 6424001, 6420954, 6420902, 6420742, 6410976, 6407426, 6437389, 6399979, 6395630, 6392296, 6379982, 6376909, 6372618, 6365333, 6357107, 6355299, 6352933, 6350704, 6350635, 6337805, 6380765, 6316969, 6314013, 6313518, 6307775, 6306681, 6304493, 6301162, 6297994, 6297521, 6297103, 6294455, 6287932, 6261751, 6255852, 6255156, 6251470, 6249020, 6240622, 6232705, 6277728, 6274937, 6211562, 6211073, 6191470, 6191468, 6191448, 6222788, 6222778, 6187677, 6163066, 6219299, 6037248, 6031263, 6674167, 6709978, 6952032, 6927122, 6912778, 6812513, 6778441, 6777715, 6723577, 6143616, 6141238, 6150188, 6586835, 6570248, 6593656, 6526191, 6518615, 6496370, 6451685, 6373740, 6313531, 6309907, 6281042, 6198168, 6219237, 6090636, 6025225, 6456535, 6249460, 6356500"
03895263-1,"6440766, 6933873, 6822370, 6868726, 6703679, 6433401, 6386032, 6291875"
03896275-1,"6040793, 6956416"
03896313-2,6210594
03896397-1,"6268813, 6903615"
03897006-1,6710632
03897317-1,6028006
03897774-2,6778117
03898049-3,"6963963, 6954826, 6920586, 6871246, 6857063, 6845419, 6775727, 6766431, 6976110, 6973540, 6925542, 6895530, 6859875, 6795908, 6775765, 6954821, 6865667, 6832280, 6769076"
03900378-2,"6221938, 6127462"
03900722-1,6650317
03900944-1,"6958260, 6673400"
03900944-2,"6703690, 6692328, 6972257, 6946357, 6933207, 6960821, 6897540, 6896969, 6894368, 6887579, 6873050, 6844230, 6833579, 6787390, 6777705, 6777289, 6774006, 6734487, 6602798, 6602653, 6600190, 6599840, 6599800, 6141248, 6141238, 6157566, 6157565, 6136511, 6120942, 6150226, 6596648, 6580154, 6579803, 6596642, 6551876, 6548872, 6548397, 6495395, 6492656, 6479379, 6492243, 6461967, 6459138, 6456535, 6444572, 6483171, 6429125, 6414376, 6404669, 6403493, 6403442, 6432793, 6356500, 6355551, 6348125, 6319639, 6316784, 6312988, 6309975, 6303956, 6300199, 6297129, 6287958, 6284643, 6274482, 6265281, 6261964, 6258664, 6255693, 6252244, 6249460, 6245615, 6232229, 6229148, 6277704, 6225142, 6189582, 6181594, 6221542, 6083821, 6051511, 6087689, 6087270"
03902082-2,6091079
03902148-2,6169322
03903413-1,6832947
03903424-1,"6331713, 6555832, 6878946"
03904607-3,"6392947, 6115323, 6266749, 6078535, 6043686, 6468848, 6307233, 6748483, 6738860, 6735668, 6735667, 6910096, 6895465, 6732224, 6662291, 6728829, 6728828, 6732226, 6732225, 6418078, 6188635"
03904987-1,6454519
03905688-3,6351627
03906300-1,6711301
03906891-1,6956223
03906951-1,"6517592, 6206971, 6176930, 6086676, 6364954, 6110322"
03908114-1,"6694125, 6686755"
03908397-2,"6888483, 6867621, 6720798, 6697005, 6674388, 6788238, 6639430, 6784818, 6573853, 6876318, 6873210, 6831585, 6727839, 6727756, 6664910, 6628224, 6771127, 6653966, 6583747"
03909366-2,6429783
03909626-2,6768669
03909763-3,6965357
03909798-1,"6732284, 6633988, 6732283, 6397340, 6173409"
03909925-1,"6696330, 6680518, 6674667, 6664589, 6980033, 6979857, 6979607, 6975531, 6972599, 6970370, 6970021, 6956908, 6956772, 6956256, 6952366, 6952362, 6952117, 6946879, 6943083, 6940761, 6936886, 6964903, 6919254, 6912158, 6963103, 6958937, 6903367, 6888749, 6888740, 6888739, 6887749, 6909138, 6881624, 6878991, 6906953, 6853587, 6842370, 6838911, 6838723, 6830963, 6864139, 6804142, 6804136, 6813180, 6801056, 6800927, 6798009, 6812516, 6787883, 6773968, 6754108, 6764901, 6747305, 6744094, 6737926, 6730960, 6720216, 6639835, 6628158, 6625074, 6654275, 6610566, 6605961, 6649476, 6646474, 6143636, 6141256, 6140877, 6134175, 6128216, 6124729, 6156607, 6156604, 6107893, 6107663, 6104068, 6104066, 6104045, 6153468, 6597203, 6597037, 6574144, 6573169, 6569715, 6566682, 6563345, 6593201, 6545297, 6531929, 6528837, 6519197, 6515510, 6512400, 6503790, 6498065, 6538476, 6492694, 6538330, 6537871, 6535071, 6472939, 6469582, 6462582, 6486703, 6448615, 6486027, 6429065, 6418050, 6414550, 6414356, 6413825, 6437604, 6407424, 6436748, 6434041, 6377156, 6377084, 6377070, 6376895, 6376317, 6373290, 6365448, 6362692, 6362691, 6355961, 6351428, 6346858, 6384448, 6340612, 6337808, 6383871, 6381168, 6380787, 6320222, 6317357, 6309950, 6307235, 6300193, 6288575, 6327465, 6249191, 6239684, 6238976, 6235569, 6229342, 6275433, 6225165, 6208164, 6201287, 6174784, 6166401, 6165836, 6165828, 6075272, 6097065, 6066869, 6060754, 6049496, 6049106, 6093623, 6043527, 6091654, 6025261, 6701607, 6700821, 6696912, 6696360, 6689660, 6686766, 6683337, 6710538, 6674672, 6710428, 6670703, 6664806, 6661058, 6656813, 6706597, 6979855, 6976300, 6970053, 6958302, 6955968, 6953996, 6953730, 6953375, 6950585, 6948230, 6936849, 6930346, 6929984, 6927666, 6924194, 6965123, 6921702, 6919266, 6914800, 6914278, 6962866, 6960821, 6960538, 6903003, 6900716, 6900521, 6900122, 6900116, 6910260, 6898362, 6894532, 6893984, 6893933, 6909635, 6890843, 6890812, 6884739, 6884706, 6881627, 6879017, 6906402, 6903444, 6853522, 6853288, 6852613, 6850141, 6846738, 6844256, 6844203, 6861727, 6838763, 6838726, 6835638, 6835111, 6833317, 6833308, 6833285, 6829421, 6828656, 6825747, 6822545, 6821802, 6818937, 6817087, 6815804, 6815303, 6858865, 6858444, 6858120, 6803326, 6794735, 6794709, 6794255, 6794246, 6790791, 6790684, 6787888, 6787413, 6787370, 6812137, 6781876, 6812109, 6812100, 6779250, 6777770, 6774050, 6772362, 6809985, 6767795, 6806805, 6756298, 6746893, 6744082, 6741519, 6741104, 6738240, 6737887, 6737740, 6762500, 6734510, 6762478, 6731531, 6730567, 6729928, 6762068, 6720655, 6720221, 6760967, 6756875, 6756673, 6639268, 6635948, 6653208, 6653196, 6612019, 6608378, 6607956, 6600339, 6646534, 6143655, 6141260, 6141248, 6140181, 6137167, 6125062, 6122187, 6121126, 6156374, 6117619, 6104061, 6100176, 6097242, 6150687, 6586797, 6586792, 6580154, 6566731, 6559491, 6556068, 6552564, 6552383, 6548107, 6545314, 6544846, 6534420, 6531945, 6531727, 6541859, 6521958, 6541362, 6514828, 6514820, 6512695, 6539490, 6504224, 6504201, 6498362, 6496034, 6495955, 6495436, 6535101, 6534855, 6476441, 6465375, 6465298, 6456157, 6454912, 6492233, 6452856, 6452839, 6452831, 6448601, 6441479, 6483171, 6432724, 6429632, 6429120, 6424034, 6424001, 6420954, 6420902, 6420742, 6407426, 6437389, 6399979, 6395630, 6392296, 6379982, 6376909, 6372618, 6365333, 6357107, 6355299, 6352933, 6351411, 6350704, 6350635, 6337805, 6380765, 6316969, 6314013, 6313518, 6307775, 6307405, 6306681, 6304505, 6304493, 6301162, 6331465, 6297994, 6297521, 6297103, 6294813, 6288437, 6287932, 6261751, 6255852, 6255156, 6251470, 6249020, 6246606, 6245615, 6242304, 6240622, 6232705, 6232643, 6277728, 6274937, 6211562, 6211073, 6191470, 6191468, 6191448, 6222788, 6222778, 6163066, 6219299, 6031263, 6025627, 6674167, 6709978, 6952032, 6927122, 6912778, 6812513, 6778441, 6777715, 6723577, 6143616, 6141238, 6150188, 6586835, 6570248, 6526191, 6518615, 6496370, 6373740, 6313531, 6309907, 6281042, 6198168, 6219237, 6090636, 6025225, 6456535, 6249460, 6356500"
03910599-1,6477687
03911353-1,"6639430, 6684065, 6653966, 6583747"
03912128-2,"6839394, 6665360, 6560306, 6535527, 6265996, 6084479, 6026134, 6513127, 6385265"
03912521-2,6952737
03912558-3,"6532170, 6442073, 6366498, 6282122, 6243296, 6236597, 6226201, 6078521, 6052309, 6031763, 6028787, 6018476, 6828620, 6781883, 6646919, 6573138, 6268623, 6122209"
03912927-1,6028692
03912942-1,"6278263, 6246220, 6181120"
03913567-1,6088474
03914748-1,6552573
03914861-1,6868431
03915693-1,"6940231, 6613148, 6117294, 6570322, 6596141, 6590334, 6540898, 6448717, 6413577, 6296750, 6224730, 6068750, 6696783, 6638445, 6491559, 6184153, 6027790, 6361391, 6183329"
03915766-1,6847089
03916331-1,"6624680, 6072329, 6118297, 6445229, 6380786, 6115439"
03916707-1,"6682873, 6893905, 6107688, 6586144, 6573023, 6495296, 6537728, 6458515, 6455939, 6428943, 6420086, 6372405, 6372404, 6228538, 6207578, 6222271, 6083767, 6057238, 6143580, 6555402, 6534244, 6461774, 6451513, 6358763, 6391670, 6299499, 6290562, 6095882"
03917662-1,"6798800, 6974934, 6940881, 6904070, 6870867, 6829259, 6917632, 6829268, 6661815"
03918599-1,6723167
03919655-1,"6701028, 6912323"
03919711-1,6907600
03920121-1,"6664830, 6917230, 6760875, 6138258, 6137325, 6591386, 6441668, 6421800, 6300668, 6289479, 6281726, 6898144, 6791381, 6137334, 6597619, 6392458, 6388480, 6359482, 6316976, 6069506, 6232148, 6882587, 6600687, 6469944, 6418071, 6353564, 6188622, 6226210, 6028799, 6011731, 6778452, 6452846, 6445629, 6335888, 6198676, 6181617, 6052322, 6026040"
03921022-1,6153969
03921199-1,"6627507, 6407441, 6297515, 6509574, 6284669"
03921216-1,6166977
03923559-1,"6635157, 6893548, 6890850, 6787006, 6905737, 6485618, 6451177, 6436267, 6399479, 6372633, 6503375, 6290865, 6277249, 6274008, 6258223, 6258220, 6189482, 6176667, 6170428, 6136163, 6296712, 6109206, 6551929, 6939804, 6849545, 6270859, 6270621, 6129044, 6123864, 6103014"
03924229-1,6928200
03924585-1,"6128931, 6095575, 6067730, 6035671, 6082149"
03924970-1,"6922426, 6858519, 6850548, 6813293, 6798806, 6975660, 6905900, 6965626"
03925677-1,"6709885, 6949831, 6949476, 6790704, 6777320, 6689702"
03928370-1,"6183940, 6034541"
03930053-3,"6331213, 6330729, 6076217, 6632743, 6100198"
03930204-2,"6853971, 6424935"
03930776-1,"6778549, 6735664, 6292467, 6937571, 6978318, 6421735"
03931583-1,"6894564, 6861890, 6822433, 6696888, 6549057, 6525601, 6489849, 6456142, 6445248, 6437630, 6429720, 6348829, 6204719, 6172549, 6144244, 6122497, 6104244, 6087883, 6084472, 6074082, 6064277, 6011431"
03931878-1,"6529633, 6115131, 6744533, 6674435, 6563864, 6091506, 6795548"
03932773-2,6759914
03933679-1,6027672
03933860-1,"6399480, 6403492, 6780776, 6812077, 6764917, 6566176, 6521510, 6441435, 6166428, 6127261, 6121663, 6096662, 6060404, 6060393, 6022799, 6383954, 6764947, 6750127, 6114235, 6153933, 6764949, 6939198, 6632124, 6506097"
03934057-2,"6492722, 6271591, 6153521"
03934489-1,"6920220, 6707690"
03936048-2,"6719848, 6617507"
03936080-1,"6583645, 6539534, 6817005"
03936820-2,"6761069, 6530275"
03937018-1,"6684637, 6170442, 6035637"
03937985-1,"6830950, 6900133, 6902947"
03938094-1,6108765
03938103-1,6975629
03938317-1,"6750544, 6196677, 6134685"
03939293-1,"6853474, 6589100, 6447371, 6527622"
03940804-3,6099808
03940935-1,6970758
