collab2,pnum
5,6417100
2,6415975
0,6400160
2,6400030
0,6400023
2,6399984
3,6399902
0,6399519
0,6399958
0,6399505
1,6399493
3,6399480
0,6415243
0,6399474
0,6399469
3,6399467
0,6399450
16,6399452
3,6399446
0,6399427
5,6399401
0,6399284
2,6397326
2,6415348
3,6397313
1,6397239
3,6397238
3,6397225
8,6396749
3,6396296
2,6396258
6,6396108
5,6396103
8,6395654
1,6414600
18,6396059
1,6395644
0,6395609
1,6395606
0,6395589
1,6395568
44,6395567
1,6395129
0,6395437
6,6394481
5,6414355
1,6395100
3,6393555
5,6393554
11,6393549
1,6393548
1,6393536
2,6393546
6,6393531
0,6393529
5,6393502
0,6414326
0,6393109
0,6393028
5,6393021
2,6392403
22,6392280
3,6392251
1,6392432
0,6392145
0,6391784
0,6391782
2,6414335
1,6391767
2,6391751
12,6391766
3,6391730
0,6391733
6,6391750
0,6391753
0,6391729
0,6391728
23,6391664
1,6413869
6,6390314
0,6391695
2,6389557
0,6391525
6,6390157
0,6389556
3,6389526
2,6389488
2,6389512
1,6388943
68,6413857
0,6389366
0,6388334
1,6388457
1,6388330
11,6388309
114,6388298
12,6387823
0,6387820
11,6387825
0,6387818
5,6413846
0,6387804
21,6387806
3,6387786
4,6387767
2,6387758
23,6387715
9,6387755
2,6387206
1,6386430
2,6385740
15,6417084
0,6413829
0,6385738
3,6385705
2,6385670
1,6385093
4,6385632
1,6384618
1,6384372
0,6384366
0,6384361
3,6383952
0,6413820
3,6383950
1,6383945
2,6383947
1,6383925
12,6383939
8,6383906
12,6383919
0,6383904
0,6383888
4,6383880
0,6413390
1,6383874
3,6383872
1,6383827
2,6383843
0,6383824
1,6383822
2,6381841
1,6382395
1,6382500
11,6381689
0,6412498
11,6381683
11,6381672
3,6381625
1,6381550
3,6381179
3,6381163
0,6381016
0,6380806
1,6380724
2,6380618
0,6412641
2,6380588
0,6380589
0,6380590
17,6380625
1,6380554
2,6380556
2,6380091
1,6380067
19,6380055
3,6380057
4,6411859
11,6380047
0,6380043
2,6380041
8,6380040
0,6380038
3,6380033
0,6379216
3,6380029
3,6380019
0,6379980
0,6411378
0,6379036
1,6378538
0,6378076
1,6378023
44,6377898
6,6377488
0,6377665
0,6376880
2,6376389
4,6376877
0,6411069
1,6376350
22,6376343
3,6376341
0,6376336
2,6376323
12,6376330
0,6376320
0,6376312
2,6376309
2,6376308
2,6410956
0,6376286
1,6376267
0,6376261
0,6376265
14,6376013
12,6375347
0,6374675
0,6374399
1,6374375
17,6374345
18,6410967
2,6373126
52,6373113
6,6373103
7,6373053
4,6372673
1,6372668
0,6372659
12,6372651
12,6372635
11,6372644
8,6417082
5,6410949
12,6372631
1,6372627
68,6372614
4,6372590
0,6372589
19,6372588
1,6372587
0,6372584
1,6372582
0,6372577
0,6410938
0,6372561
3,6372563
5,6372544
23,6372529
1,6371715
2,6371310
0,6371135
6,6371134
0,6370680
0,6370785
0,6410927
0,6370660
9,6370642
3,6370637
0,6370621
4,6370607
1,6370600
1,6370575
6,6370065
2,6370061
1,6369453
3,6410461
4,6369421
4,6369429
3,6369433
5,6369416
6,6368985
0,6368965
0,6368982
0,6368967
0,6368963
2,6368954
1,6410458
3,6368949
9,6368950
2,6368948
0,6368947
0,6368926
15,6368883
1,6368884
0,6368762
0,6368879
0,6368188
1,6410443
0,6368184
5,6367679
0,6367006
0,6367001
1,6366824
0,6366822
2,6366610
0,6366513
13,6366501
0,6366160
0,6410442
0,6366101
8,6365943
1,6365859
1,6365516
1,6365509
12,6365505
4,6365481
1,6365423
0,6365466
0,6365445
0,6410434
0,6365450
13,6365422
3,6365320
5,6364669
3,6363501
0,6363014
1,6363471
0,6362640
0,6362527
6,6362526
0,6410418
2,6362634
1,6362524
0,6362522
26,6362510
0,6362116
8,6362095
2,6362063
1,6362100
6,6362061
17,6362055
4,6410410
1,6362052
8,6362051
1,6362049
12,6361599
0,6361874
1,6361837
6,6360959
0,6360347
4,6360318
5,6360317
0,6417081
19,6410409
6,6360305
1,6359824
2,6360133
7,6359808
0,6359579
1,6359461
1,6359307
1,6359253
0,6359298
7,6358856
10,6410393
1,6358852
0,6358848
21,6358840
2,6358843
39,6358828
11,6358826
2,6358362
6,6358803
1,6358760
1,6357024
1,6410388
4,6356804
0,6356551
3,6356482
0,6356340
1,6356099
2,6355955
1,6355933
2,6355575
2,6355564
0,6355555
3,6410371
3,6355546
0,6355543
2,6355528
6,6355522
3,6355511
0,6355514
0,6355388
5,6354133
1,6353566
12,6353253
15,6410351
2,6352930
11,6352885
2,6352871
0,6352870
2,6352867
9,6352817
0,6351804
2,6351724
2,6351801
1,6351684
1,6410350
0,6351528
4,6351420
10,6351017
1,6351013
12,6350982
2,6350696
1,6350690
1,6350687
2,6350678
5,6350639
2,6410191
23,6350624
2,6350627
5,6350179
0,6349388
0,6349365
0,6349341
0,6349062
0,6348807
4,6348732
1,6348701
3,6409879
3,6348413
6,6348410
2,6348406
4,6350559
2,6348356
0,6348387
3,6348379
1,6348364
2,6348289
4,6348142
1,6409070
0,6347369
4,6347052
21,6346479
4,6346472
3,6346745
12,6346737
9,6346470
2,6346467
1,6346463
