inv2,inv1
05953335-1,03874458-1
05953335-3,03874458-1
06011799-3,03874458-1
06047001-3,03874458-1
06091707-3,03874458-1
06401147-2,03874458-1
06442137-2,03874458-1
06442137-9,03874458-1
06564161-2,03874458-1
06594776-1,03874458-1
03874916-1,03874916-1
05083865-3,03874916-1
05667631-2,03874916-1
05844195-2,03874916-1
06106662-5,03874916-1
06132814-2,03874916-1
06195246-3,03874916-1
06831284-4,03874916-1
06831284-6,03874916-1
03876908-1,03876908-1
05861647-1,03876908-1
06292061-1,03876908-1
06429692-2,03876908-1
06489835-1,03876908-1
03877056-1,03877056-1
05034848-1,03877056-1
05272427-2,03877056-1
03878482-1,03878482-1
06295234-2,03878482-1
03865609-1,03878498-1
03878498-1,03878498-1
04028582-1,03878498-1
04338615-1,03878498-1
06414706-3,03878498-1
03878552-1,03878552-1
03968512-1,03878552-1
04582015-1,03878552-1
04954212-2,03878552-1
05081065-2,03878552-1
05212663-1,03878552-1
05451912-1,03878552-1
05767701-2,03878552-1
05830804-2,03878552-1
06131140-4,03878552-1
06169322-1,03878552-1
06350665-1,03878552-1
06387723-4,03878552-1
06592269-1,03878552-1
06660661-1,03878552-1
06699795-3,03878552-1
06759865-1,03878552-1
06847218-2,03878552-1
03879585-3,03879585-3
03881884-2,03879585-3
03895147-1,03879585-3
03900944-2,03879585-3
03909925-1,03879585-3
03978577-1,03879585-3
03986178-1,03879585-3
04891794-3,03879585-3
05225024-5,03879585-3
05378945-3,03879585-3
03879687-3,03879687-3
04638341-1,03879687-3
04868624-1,03879687-3
03879799-1,03879799-1
04686449-2,03879799-1
04686602-1,03879799-1
04797372-4,03879799-1
04805071-1,03879799-1
04805071-2,03879799-1
05119162-3,03879799-1
05257175-1,03879799-1
05264376-1,03879799-1
05408141-3,03879799-1
05491437-3,03879799-1
05834335-1,03879799-1
06020640-2,03879799-1
03881067-3,03881067-3
04486700-1,03881067-3
06642711-2,03881067-3
06642711-3,03881067-3
03881121-1,03881121-1
05199002-3,03881121-1
05440524-1,03881121-1
05848019-3,03881121-1
06549452-1,03881121-1
06662258-3,03881121-1
06760242-2,03881121-1
03879585-3,03881884-2
03881884-2,03881884-2
03895147-1,03881884-2
03900944-2,03881884-2
03909925-1,03881884-2
03978577-1,03881884-2
03986178-1,03881884-2
04183781-1,03881884-2
04222816-1,03881884-2
04891794-3,03881884-2
05055169-2,03881884-2
05225024-5,03881884-2
05378945-3,03881884-2
03881887-1,03881887-1
04123267-1,03881887-1
05772715-3,03881887-1
05945163-1,03881887-1
05945163-3,03881887-1
05945163-5,03881887-1
05945163-6,03881887-1
