inv2,inv1
04936950-1,05264396-1
04981810-4,05264396-1
05013680-9,05264396-1
05032233-3,05264396-1
05091290-1,05264396-1
05185275-1,05264396-1
05211995-3,05264396-1
05225024-5,05264396-1
05264396-1,05264396-1
05264396-2,05264396-1
05271264-1,05264396-1
05281500-2,05264396-1
05382550-1,05264396-1
05416045-3,05264396-1
05497401-1,05264396-1
05505158-2,05264396-1
05536330-1,05264396-1
05555486-2,05264396-1
05563089-3,05264396-1
05571733-1,05264396-1
05601656-1,05264396-1
05618461-1,05264396-1
05633200-1,05264396-1
05639685-1,05264396-1
05656531-2,05264396-1
05691228-1,05264396-1
05711812-1,05264396-1
05756404-1,05264396-1
05756404-2,05264396-1
05846332-5,05264396-1
05855957-1,05264396-1
05885882-1,05264396-1
05910880-1,05264396-1
05910880-2,05264396-1
05969983-2,05264396-1
05983906-4,05264396-1
06079356-2,05264396-1
06111285-3,05264396-1
06126847-2,05264396-1
06172387-2,05264396-1
06291868-4,05264396-1
06559039-4,05264396-1
06559454-4,05264396-1
06566199-1,05264396-1
06611032-2,05264396-1
06639231-3,05264396-1
06713127-1,05264396-1
06713127-3,05264396-1
06803297-2,05264396-1
06884464-6,05264396-1
04631219-2,05264396-2
05227331-1,05264396-2
05234540-2,05264396-2
05264396-1,05264396-2
05264396-2,05264396-2
05571733-1,05264396-2
05601656-1,05264396-2
05685951-2,05264396-2
06010949-4,05264396-2
04452124-2,05264396-3
04811091-4,05264396-3
05091290-1,05264396-3
05259924-2,05264396-3
05264396-3,05264396-3
05910880-1,05264396-3
04997949-1,05264455-5
05264455-5,05264455-5
05458910-2,05264455-5
05763454-5,05264455-5
06090942-3,05264455-5
04819047-1,05264704-1
05264704-1,05264704-1
06107107-2,05264704-1
06146014-2,05264704-1
06248600-5,05264704-1
06546513-1,05264704-1
06716683-4,05264704-1
06897664-10,05264704-1
06897664-11,05264704-1
06897664-2,05264704-1
06897664-8,05264704-1
06897664-9,05264704-1
03924970-1,05264715-1
04371847-1,05264715-1
05264715-1,05264715-1
06674941-1,05264715-1
05159273-1,05264725-1
05245577-2,05264725-1
05260646-1,05264725-1
05264725-1,05264725-1
05264725-2,05264725-1
05293057-1,05264725-1
05381368-2,05264725-1
05424672-1,05264725-1
05587961-2,05264725-1
05625790-1,05264725-1
05627478-1,05264725-1
05627478-2,05264725-1
05627478-4,05264725-1
05631862-6,05264725-1
05631862-7,05264725-1
05631862-8,05264725-1
05721506-1,05264725-1
05896337-1,05264725-1
03920121-1,05264725-2
05159273-1,05264725-2
05245577-2,05264725-2
05260646-1,05264725-2
05264725-1,05264725-2
05264725-2,05264725-2
05293057-1,05264725-2
05381368-2,05264725-2
05578941-2,05264725-2
05587961-2,05264725-2
05614856-2,05264725-2
05625790-1,05264725-2
05627478-1,05264725-2
05631862-6,05264725-2
05631862-7,05264725-2
05631862-8,05264725-2
05663919-3,05264725-2
05677567-2,05264725-2
05787096-3,05264725-2
03871015-1,05264981-2
03917662-1,05264981-2
04764933-1,05264981-2
05101193-2,05264981-2
05264981-2,05264981-2
06631146-2,05264981-2
06658031-2,05264981-2
05265056-1,05265056-1
06507496-2,05265056-1
04379830-2,05265143-1
04847674-4,05265143-1
05037506-2,05265143-1
05128230-1,05265143-1
05265143-1,05265143-1
05624859-2,05265143-1
05761064-1,05265143-1
05766058-2,05265143-1
05780204-4,05265143-1
05789802-1,05265143-1
05855837-2,05265143-1
05933729-1,05265143-1
05958744-2,05265143-1
05985497-5,05265143-1
05986344-2,05265143-1
06080654-1,05265143-1
06210846-2,05265143-1
04170810-1,05265213-3
04432075-1,05265213-3
05265213-3,05265213-3
05490279-7,05265213-3
05642306-1,05265213-3
05701508-9,05265213-3
06014735-1,05265213-3
06275834-2,05265213-3
04674086-1,05265228-1
04992727-2,05265228-1
05261095-2,05265228-1
05265228-1,05265228-1
06400715-2,05265228-1
05265233-3,05265233-3
05367657-1,05265233-3
05455939-1,05265233-3
05742831-1,05265233-3
05930486-1,05265233-3
06487643-2,05265233-3
06681292-3,05265233-3
06813665-2,05265233-3
04334950-1,05266183-1
04770739-2,05266183-1
04890144-4,05266183-1
05266183-1,05266183-1
05718618-2,05266183-1
06137213-7,05266183-1
04284706-3,05266183-2
05266183-2,05266183-2
06083806-1,05266183-2
05225932-2,05266445-1
05266445-1,05266445-1
06094215-1,05266445-1
05266527-1,05266527-1
06259551-1,05266527-1
05266843-1,05266843-1
05083865-1,05267017-1
05267017-1,05267017-1
05270542-5,05267017-1
03984670-1,05267187-4
04822084-1,05267187-4
05198706-1,05267187-4
05267187-4,05267187-4
06467009-1,05267187-4
04939692-1,05267196-1
05267196-1,05267196-1
05414669-3,05267196-1
06216215-2,05267196-1
06297974-1,05267196-1
06931498-1,05267196-1
04701374-2,05267607-1
05267607-1,05267607-1
05897752-1,05267607-1
05953630-4,05267607-1
06440282-2,05267607-1
06440282-3,05267607-1
06488984-2,05267607-1
05267620-1,05267620-1
06152148-1,05267620-1
06599808-1,05267620-1
05268085-2,05268085-2
05623149-1,05268085-2
06103970-2,05268085-2
06103970-3,05268085-2
03933860-1,05268202-1
04294002-2,05268202-1
04370405-3,05268202-1
04379830-2,05268202-1
04379943-1,05268202-1
04581815-1,05268202-1
04622576-1,05268202-1
04808273-3,05268202-1
04932525-2,05268202-1
04954212-1,05268202-1
04954459-1,05268202-1
05103425-2,05268202-1
05128230-1,05268202-1
05268202-1,05268202-1
05290588-1,05268202-1
05376573-3,05268202-1
05457336-1,05268202-1
05468340-3,05268202-1
05504017-2,05268202-1
05504328-1,05268202-1
05545592-1,05268202-1
05582881-1,05268202-1
05582881-3,05268202-1
05624859-2,05268202-1
05625231-1,05268202-1
05686761-2,05268202-1
05736423-1,05268202-1
05746884-8,05268202-1
05763327-3,05268202-1
05821036-5,05268202-1
05866945-2,05268202-1
05882498-2,05268202-1
05917488-2,05268202-1
05920786-1,05268202-1
05933729-1,05268202-1
05970313-2,05268202-1
05985497-5,05268202-1
05986344-2,05268202-1
05986344-3,05268202-1
05994778-2,05268202-1
06015747-1,05268202-1
06030901-1,05268202-1
06030901-3,05268202-1
06066574-3,05268202-1
06074949-3,05268202-1
06086777-1,05268202-1
06130169-2,05268202-1
06208030-2,05268202-1
06221793-2,05268202-1
06261936-1,05268202-1
06297065-2,05268202-1
06309955-4,05268202-1
06309959-3,05268202-1
06313538-5,05268202-1
06348732-3,05268202-1
06368948-3,05268202-1
06368948-4,05268202-1
06391733-1,05268202-1
06431182-1,05268202-1
06500756-4,05268202-1
06673635-1,05268202-1
05268312-2,05268312-2
05426271-5,05268312-2
05908545-2,05268312-2
06177727-2,05268312-2
06769319-3,05268312-2
05269005-2,05269005-2
06047316-4,05269005-2
04494187-1,05269021-5
04718024-2,05269021-5
04992727-2,05269021-5
05109504-1,05269021-5
05269021-5,05269021-5
05280579-1,05269021-5
06484288-4,05269021-5
05270256-4,05270256-4
05909635-1,05270256-4
06525419-3,05270256-4
06525419-4,05270256-4
06525419-5,05270256-4
04282648-2,05270264-1
05216843-3,05270264-1
05244843-1,05270264-1
05270264-1,05270264-1
05516725-2,05270264-1
05554554-2,05270264-1
05714413-3,05270264-1
05719085-1,05270264-1
05828084-3,05270264-1
05908313-4,05270264-1
05959340-2,05270264-1
05994660-5,05270264-1
06139543-2,05270264-1
06362091-4,05270264-1
06482754-2,05270264-1
06677253-3,05270264-1
06879019-0,05270264-1
06890813-1,05270264-1
06974984-3,05270264-1
06974984-4,05270264-1
05083865-1,05270542-5
05267017-1,05270542-5
05270542-5,05270542-5
04243984-4,05270687-1
04434462-2,05270687-1
05270687-1,05270687-1
04992727-2,05270955-2
05075572-2,05270955-2
05270955-2,05270955-2
05495150-3,05270955-2
05793669-1,05270955-2
05895497-1,05270955-2
06061811-2,05270955-2
06408345-1,05270955-2
06408345-4,05270955-2
06594713-4,05270955-2
06928011-0,05270955-2
04636987-1,05270972-2
04722075-4,05270972-2
05270972-2,05270972-2
05524096-1,05270972-2
05552739-3,05270972-2
05889416-1,05270972-2
06549468-2,05270972-2
05271020-1,05271020-1
05630147-1,05271020-1
05745770-1,05271020-1
05835704-1,05271020-1
06199159-1,05271020-1
06571335-1,05271020-1
06584573-3,05271020-1
05271084-2,05271084-2
06245653-1,05271084-2
06245653-3,05271084-2
03887882-1,05271264-1
03983083-4,05271264-1
04627288-3,05271264-1
04842683-6,05271264-1
04872947-4,05271264-1
05072288-2,05271264-1
05083865-3,05271264-1
05113929-1,05271264-1
05201990-4,05271264-1
05264396-1,05271264-1
05271264-1,05271264-1
05292137-3,05271264-1
05479727-2,05271264-1
05673922-3,05271264-1
05709772-2,05271264-1
05709772-3,05271264-1
05709772-4,05271264-1
05777245-1,05271264-1
05846332-7,05271264-1
05855957-1,05271264-1
05951776-1,05271264-1
05953630-3,05271264-1
05985033-1,05271264-1
05985033-2,05271264-1
06026762-5,05271264-1
06099904-2,05271264-1
06156382-4,05271264-1
06162715-5,05271264-1
06162715-6,05271264-1
06186092-5,05271264-1
06204174-1,05271264-1
06204203-5,05271264-1
06303480-1,05271264-1
06303480-2,05271264-1
06319766-1,05271264-1
06464795-10,05271264-1
05271274-2,05271274-2
05271817-2,05271817-2
06022749-3,05271817-2
03892973-3,05271972-2
04181564-2,05271972-2
04698104-2,05271972-2
04872947-3,05271972-2
05271972-2,05271972-2
05380566-2,05271972-2
05380566-3,05271972-2
05399387-3,05271972-2
05441768-5,05271972-2
05788778-1,05271972-2
05952125-4,05271972-2
06294219-3,05271972-2
06294219-4,05271972-2
03960157-2,05272095-2
04511413-1,05272095-2
04865685-1,05272095-2
04912063-2,05272095-2
04918497-1,05272095-2
05272095-2,05272095-2
05323022-1,05272095-2
05371029-2,05272095-2
05604135-2,05272095-2
05631190-1,05272095-2
05972801-1,05272095-2
06187606-3,05272095-2
06261931-2,05272095-2
06265727-2,05272095-2
06350041-2,05272095-2
06459100-4,05272095-2
06515313-1,05272095-2
06740906-2,05272095-2
06747298-2,05272095-2
06747298-4,05272095-2
06791119-3,05272095-2
06794684-2,05272095-2
06825501-5,05272095-2
06903446-1,05272095-2
06903446-4,05272095-2
05272096-1,05272096-1
05604700-1,05272096-1
05945866-2,05272096-1
06787858-1,05272096-1
06787858-3,05272096-1
06787858-5,05272096-1
03877056-1,05272427-2
05034848-1,05272427-2
05272427-2,05272427-2
05524556-4,05272427-2
06220043-1,05272427-2
06307464-2,05272427-2
04139893-1,05272468-1
04243984-4,05272468-1
04562535-2,05272468-1
04805023-2,05272468-1
04956850-1,05272468-1
05272468-1,05272468-1
05327240-1,05272468-1
05345405-5,05272468-1
04984178-1,05272638-2
05272638-2,05272638-2
06526144-5,05272638-2
04240138-1,05272638-3
04783808-2,05272638-3
05272638-3,05272638-3
06029000-1,05272638-3
06029000-3,05272638-3
05083865-3,05272880-1
05272880-1,05272880-1
05520969-2,05272880-1
05531183-4,05272880-1
05273783-1,05273783-1
05326892-1,05273783-1
05274259-1,05274259-1
05545915-1,05274259-1
04958088-2,05274276-2
05032892-4,05274276-2
05274276-2,05274276-2
05352945-2,05274276-2
05378945-3,05274276-2
05400283-1,05274276-2
05578941-2,05274276-2
05644166-1,05274276-2
05721560-4,05274276-2
05896337-1,05274276-2
06141272-1,05274276-2
06219293-1,05274276-2
06301172-2,05274276-2
06723618-1,05274276-2
05274277-1,05274277-1
06397304-1,05274277-1
04866559-3,05274350-1
05274350-1,05274350-1
05444590-4,05274350-1
04677318-1,05274581-2
04701636-2,05274581-2
05001368-1,05274581-2
05066873-3,05274581-2
05121006-1,05274581-2
05128565-1,05274581-2
05163070-1,05274581-2
05166604-1,05274581-2
05166604-2,05274581-2
05241224-3,05274581-2
05274581-2,05274581-2
05293623-2,05274581-2
05315172-1,05274581-2
05341044-4,05274581-2
05341308-1,05274581-2
05434514-2,05274581-2
05550782-6,05274581-2
05555214-2,05274581-2
05592102-1,05274581-2
06128692-6,05274581-2
06128692-7,05274581-2
05274711-2,05274711-2
05327518-1,05274711-2
06111181-1,05274711-2
06304846-3,05274711-2
06304846-4,05274711-2
04566175-1,05274743-2
04652837-1,05274743-2
04729118-1,05274743-2
05056063-1,05274743-2
05274743-2,05274743-2
05563959-1,05274743-2
05907171-4,05274743-2
05907171-5,05274743-2
06110781-3,05274743-2
06259631-2,05274743-2
06584035-1,05274743-2
06628142-2,05274743-2
06795343-2,05274743-2
05274760-1,05274760-1
05386562-4,05274760-1
05388206-2,05274760-1
05490240-2,05274760-1
06646639-5,05274760-1
05274822-1,05274822-1
05656949-3,05274822-1
06507213-1,05274822-1
06567970-2,05274822-1
05274822-2,05274822-2
06483516-1,05274822-2
04806921-3,05274917-4
05274917-4,05274917-4
06731320-4,05274917-4
04302819-1,05275522-1
04380707-1,05275522-1
04595875-1,05275522-1
04712771-1,05275522-1
04920481-3,05275522-1
05045996-1,05275522-1
05121057-3,05275522-1
05209134-1,05275522-1
05254883-2,05275522-1
05275522-1,05275522-1
05337285-4,05275522-1
05365104-2,05275522-1
05386370-1,05275522-1
05537573-3,05275522-1
05578940-2,05275522-1
05835082-1,05275522-1
05908333-1,05275522-1
05908333-3,05275522-1
05945862-3,05275522-1
05951305-1,05275522-1
05959481-3,05275522-1
06021076-4,05275522-1
06075730-6,05275522-1
06094075-4,05275522-1
06215373-2,05275522-1
06356975-8,05275522-1
06370668-7,05275522-1
06370668-8,05275522-1
06687780-6,05275522-1
06870419-1,05275522-1
05276361-1,05276361-1
05276418-1,05276418-1
06649445-1,05276418-1
06649445-2,05276418-1
06650022-4,05276418-1
06650022-5,05276418-1
05276633-3,05276633-3
04223586-1,05276825-2
05175859-2,05276825-2
05276825-2,05276825-2
05276828-1,05276828-1
06748479-5,05276828-1
04882700-1,05276843-2
05155656-2,05276843-2
05200917-1,05276843-2
05276843-2,05276843-2
04924278-1,05278438-2
05278438-2,05278438-2
06271087-2,05278438-2
05278464-2,05278464-2
05532915-1,05278464-2
05777935-5,05278464-2
04914269-1,05278770-2
05097381-1,05278770-2
05245577-2,05278770-2
05278770-2,05278770-2
05373227-1,05278770-2
05552739-3,05278770-2
05657284-1,05278770-2
05757655-2,05278770-2
05815402-1,05278770-2
05896337-1,05278770-2
06314011-6,05278770-2
05220525-1,05278783-1
05278783-1,05278783-1
06332188-6,05278783-1
06606684-4,05278783-1
05175853-2,05278964-2
05278964-2,05278964-2
05832260-1,05278964-2
06658559-4,05278964-2
05279514-1,05279514-1
05386328-1,05279514-1
04272986-1,05279850-1
04707455-3,05279850-1
05279850-1,05279850-1
05808353-2,05279850-1
05808353-3,05279850-1
05242860-2,05279866-1
05279866-1,05279866-1
05467220-1,05279866-1
05668055-2,05279866-1
05792522-3,05279866-1
06051114-5,05279866-1
04070632-1,05279975-1
04338679-1,05279975-1
04515906-3,05279975-1
04871688-1,05279975-1
05212442-2,05279975-1
05279975-1,05279975-1
05365551-4,05279975-1
05365551-5,05279975-1
05666379-1,05279975-1
05757713-1,05279975-1
06066507-4,05279975-1
06130602-9,05279975-1
04534824-1,05280445-1
04622476-1,05280445-1
04774197-1,05280445-1
05263000-4,05280445-1
05280445-1,05280445-1
05656521-1,05280445-1
05724365-1,05280445-1
05896450-1,05280445-1
05907781-6,05280445-1
05940718-2,05280445-1
06111787-3,05280445-1
06212098-1,05280445-1
06735114-2,05280445-1
06735114-5,05280445-1
04494187-1,05280579-1
04718024-2,05280579-1
04992727-2,05280579-1
05109504-1,05280579-1
05269021-5,05280579-1
05280579-1,05280579-1
04266234-1,05280889-4
05280889-4,05280889-4
05550398-1,05280889-4
05867202-2,05280889-4
05943157-2,05280889-4
06028690-5,05280889-4
04754431-1,05280894-1
05012444-1,05280894-1
05280894-1,05280894-1
05569617-4,05280894-1
05956267-2,05280894-1
06392922-6,05280894-1
06771533-2,05280894-1
05264396-1,05281500-2
05281500-2,05281500-2
05281863-2,05281863-2
05513070-1,05281863-2
06346743-1,05281863-2
06346743-2,05281863-2
06346743-3,05281863-2
06388207-4,05281863-2
06900991-6,05281863-2
05097381-1,05281868-1
05148546-1,05281868-1
05202587-1,05281868-1
05245577-2,05281868-1
05281868-1,05281868-1
05335202-1,05281868-1
05385854-1,05281868-1
05677649-1,05281868-1
04701374-2,05282081-2
04967061-5,05282081-2
05178739-2,05282081-2
05282081-2,05282081-2
05516403-2,05282081-2
05685960-1,05282081-2
05690795-1,05282081-2
05907220-2,05282081-2
05948986-1,05282081-2
05975590-2,05282081-2
06152074-1,05282081-2
06228236-3,05282081-2
06235163-4,05282081-2
06236946-7,05282081-2
06350320-10,05282081-2
06444101-3,05282081-2
06620296-2,05282081-2
06688838-1,05282081-2
06777045-2,05282081-2
06812471-5,05282081-2
05282140-3,05282140-3
05840448-2,05282140-3
06625802-2,05282140-3
06730988-2,05282140-3
05282272-5,05282272-5
06895002-0,05282272-5
06895002-2,05282272-5
05283478-2,05283478-2
05300805-1,05283478-2
04019373-1,05283792-1
05187396-1,05283792-1
05283792-1,05283792-1
05283813-1,05283813-1
05627885-2,05283813-1
06240133-1,05283813-1
06337642-1,05283813-1
06553074-2,05283813-1
06553074-3,05283813-1
06732315-2,05283813-1
06751269-2,05283813-1
06751269-4,05283813-1
05283900-1,05283900-1
05283900-3,05283900-1
05340316-2,05283900-1
06249909-3,05283900-1
06560722-3,05283900-1
05283900-1,05283900-3
05283900-3,05283900-3
05340316-2,05283900-3
06249909-2,05283900-3
06249909-3,05283900-3
06560722-3,05283900-3
05283904-2,05283904-2
05673065-1,05283904-2
04019373-1,05284719-1
05187396-2,05284719-1
05284719-1,05284719-1
04003036-1,05284786-1
05284786-1,05284786-1
06525962-1,05284786-1
05285170-1,05285170-1
03866945-1,05285474-1
04559625-2,05285474-1
05285474-1,05285474-1
05596604-3,05285474-1
05644573-2,05285474-1
05949357-2,05285474-1
06014412-1,05285474-1
06134283-1,05285474-1
06480475-2,05285474-1
04448636-1,05286340-2
04567432-4,05286340-2
05249865-2,05286340-2
05286340-2,05286340-2
05094712-1,05286344-3
05213659-1,05286344-3
05286344-3,05286344-3
04961010-1,05286656-2
05286656-2,05286656-2
05963080-2,05286656-2
06774675-2,05286656-2
05286679-3,05286679-3
06012502-1,05286679-3
05287046-3,05287046-3
05287292-2,05287292-2
05886989-5,05287292-2
05287311-2,05287311-2
04928018-1,05287315-5
05287315-5,05287315-5
05576992-1,05287315-5
06667210-1,05287315-5
03883136-1,05287401-1
04773046-1,05287401-1
05263000-4,05287401-1
05287401-1,05287401-1
06215705-1,05287401-1
06229735-2,05287401-1
06243316-6,05287401-1
04873703-3,05287503-1
05287503-1,05287503-1
05572734-2,05287503-1
06157955-2,05287503-1
06157955-5,05287503-1
06157955-6,05287503-1
04709467-1,05288415-2
05242860-2,05288415-2
05263000-4,05288415-2
05288415-2,05288415-2
05629653-1,05288415-2
05675537-2,05288415-2
05685941-2,05288415-2
05818682-1,05288415-2
05945722-1,05288415-2
06369430-3,05288415-2
06503814-1,05288415-2
05289060-2,05289060-2
06651126-2,05289060-2
06651126-3,05289060-2
06970525-0,05289060-2
05289337-2,05289337-2
06810435-2,05289337-2
04125427-1,05289481-1
04613972-1,05289481-1
05135609-2,05289481-1
05289481-1,05289481-1
05682446-3,05289481-1
06143140-1,05289481-1
06295160-1,05289481-1
06546168-3,05289481-1
06563982-2,05289481-1
06621954-3,05289481-1
06684002-2,05289481-1
06684002-3,05289481-1
06704469-2,05289481-1
06850364-2,05289481-1
05290398-2,05290398-2
06834549-2,05290398-2
04294002-2,05290588-1
04622576-1,05290588-1
05268202-1,05290588-1
05290588-1,05290588-1
05582881-1,05290588-1
05986344-2,05290588-1
06086464-1,05290588-1
06348732-3,05290588-1
06500754-3,05290588-1
05291019-1,05291019-1
06476986-1,05291019-1
05140404-1,05291061-1
05248075-3,05291061-1
05291061-1,05291061-1
05335202-1,05291061-1
05638958-1,05291061-1
05971256-3,05291061-1
06064120-1,05291061-1
06162703-1,05291061-1
06268275-3,05291061-1
03980951-2,05291079-1
04566080-2,05291079-1
04583168-1,05291079-1
04583288-1,05291079-1
04745084-2,05291079-1
04959565-2,05291079-1
05148516-1,05291079-1
05291079-1,05291079-1
05399924-2,05291079-1
05430687-1,05291079-1
05583450-4,05291079-1
05627480-2,05291079-1
05635854-1,05291079-1
05694047-2,05291079-1
06086629-1,05291079-1
06086629-2,05291079-1
06204689-1,05291079-1
06204695-2,05291079-1
06204710-2,05291079-1
06218864-2,05291079-1
06289068-3,05291079-1
04329598-1,05291499-1
04562577-1,05291499-1
04571712-1,05291499-1
04588941-1,05291499-1
04595874-1,05291499-1
04835628-2,05291499-1
04839896-2,05291499-1
04873696-2,05291499-1
04916726-2,05291499-1
05291499-1,05291499-1
05351231-1,05291499-1
05424881-3,05291499-1
05424881-5,05291499-1
05563746-1,05291499-1
05668678-1,05291499-1
05696639-1,05291499-1
05696639-3,05291499-1
05796535-1,05291499-1
05796535-2,05291499-1
05999355-3,05291499-1
06005727-4,05291499-1
06028727-1,05291499-1
06078444-4,05291499-1
06147522-2,05291499-1
06148048-2,05291499-1
06313961-2,05291499-1
06313961-4,05291499-1
03892973-3,05292137-3
04301324-1,05292137-3
04627288-3,05292137-3
04808259-2,05292137-3
04872947-6,05292137-3
04940508-1,05292137-3
05083865-3,05292137-3
05085727-1,05292137-3
05128797-2,05292137-3
05171412-2,05292137-3
05271264-1,05292137-3
05292137-3,05292137-3
05292399-7,05292137-3
05296094-1,05292137-3
05321544-1,05292137-3
05332443-7,05292137-3
05362768-1,05292137-3
05376223-1,05292137-3
05421891-3,05292137-3
05423918-3,05292137-3
05437757-2,05292137-3
05451784-1,05292137-3
05534108-1,05292137-3
05540824-3,05292137-3
05540824-4,05292137-3
05565074-2,05292137-3
05605603-1,05292137-3
05636098-6,05292137-3
05644467-2,05292137-3
05673922-3,05292137-3
05700327-2,05292137-3
05709772-3,05292137-3
05720818-1,05292137-3
05720818-4,05292137-3
05720818-6,05292137-3
05729423-7,05292137-3
05729423-8,05292137-3
05740009-10,05292137-3
05801915-2,05292137-3
05846332-7,05292137-3
05866483-1,05292137-3
05951776-1,05292137-3
05985033-1,05292137-3
06008139-2,05292137-3
06015465-2,05292137-3
06015465-4,05292137-3
06026762-5,05292137-3
06055150-5,05292137-3
06056267-1,05292137-3
06074954-2,05292137-3
06080529-6,05292137-3
06085688-3,05292137-3
06108189-11,05292137-3
06136211-4,05292137-3
06140612-2,05292137-3
06151203-10,05292137-3
06158384-3,05292137-3
06185839-2,05292137-3
06189484-2,05292137-3
06310755-4,05292137-3
06352049-15,05292137-3
06352049-5,05292137-3
06367412-5,05292137-3
06464790-5,05292137-3
06464795-10,05292137-3
06828241-2,05292137-3
03892973-3,05292399-2
03923559-1,05292399-2
03933860-1,05292399-2
04037111-4,05292399-2
04149640-1,05292399-2
04411023-1,05292399-2
04544311-1,05292399-2
04882129-2,05292399-2
04937206-2,05292399-2
04953982-2,05292399-2
05047648-1,05292399-2
05085727-1,05292399-2
05129994-5,05292399-2
05164565-1,05292399-2
05186597-2,05292399-2
05201990-3,05292399-2
05256599-2,05292399-2
05260236-2,05292399-2
05292399-2,05292399-2
05308417-5,05292399-2
05332443-7,05292399-2
05358493-3,05292399-2
05614055-2,05292399-2
05643364-3,05292399-2
05644467-2,05292399-2
05668055-2,05292399-2
05720818-6,05292399-2
05761023-5,05292399-2
05777245-1,05292399-2
05795215-3,05292399-2
05814562-2,05292399-2
05921855-1,05292399-2
05957751-3,05292399-2
05984769-1,05292399-2
06000415-2,05292399-2
06033290-1,05292399-2
06068539-3,05292399-2
06070551-2,05292399-2
06070551-5,05292399-2
06074546-1,05292399-2
06083344-5,05292399-2
06083344-8,05292399-2
06119708-3,05292399-2
06132298-3,05292399-2
06146259-4,05292399-2
06159073-1,05292399-2
06159073-3,05292399-2
06170428-10,05292399-2
06217426-2,05292399-2
06217429-1,05292399-2
06217430-1,05292399-2
06217430-2,05292399-2
06217430-3,05292399-2
06220941-2,05292399-2
06220941-7,05292399-2
06220941-8,05292399-2
06241593-3,05292399-2
06265026-1,05292399-2
06299698-1,05292399-2
06299741-2,05292399-2
06358124-10,05292399-2
06358124-11,05292399-2
06358124-8,05292399-2
06358124-9,05292399-2
06361405-1,05292399-2
06367412-5,05292399-2
06413871-2,05292399-2
06435942-1,05292399-2
06436302-1,05292399-2
06468362-1,05292399-2
06494219-1,05292399-2
06506097-4,05292399-2
06592439-6,05292399-2
06620027-1,05292399-2
06629881-4,05292399-2
06709314-3,05292399-2
06780773-4,05292399-2
06780773-5,05292399-2
06790768-1,05292399-2
05292137-3,05292399-7
05292399-7,05292399-7
06015465-2,05292399-7
06015465-4,05292399-7
04272986-1,05293052-2
04628299-2,05293052-2
04635345-2,05293052-2
04851078-2,05293052-2
05228330-1,05293052-2
05293052-2,05293052-2
05296411-2,05293052-2
05370923-2,05293052-2
05482881-3,05293052-2
05552725-1,05293052-2
05654215-2,05293052-2
05679605-5,05293052-2
05770482-3,05293052-2
05819355-1,05293052-2
05866473-1,05293052-2
05880511-1,05293052-2
05970353-1,05293052-2
06096643-1,05293052-2
06156580-2,05293052-2
06287877-2,05293052-2
06794256-4,05293052-2
04851078-2,05293052-3
05228330-1,05293052-3
05293052-3,05293052-3
06255195-3,05293052-3
05159273-1,05293057-1
05245577-2,05293057-1
05260646-1,05293057-1
05264725-1,05293057-1
05264725-2,05293057-1
05293057-1,05293057-1
05381368-2,05293057-1
05587961-2,05293057-1
05625790-1,05293057-1
05631862-6,05293057-1
05631862-7,05293057-1
05631862-8,05293057-1
05293065-1,05293065-1
05331200-3,05293065-1
05529474-1,05293065-1
05798564-1,05293065-1
05956233-1,05293065-1
05998860-1,05293065-1
06010954-3,05293065-1
06049129-2,05293065-1
06049129-4,05293065-1
06049129-5,05293065-1
06087203-6,05293065-1
06087203-8,05293065-1
06091140-2,05293065-1
06218202-2,05293065-1
06218202-4,05293065-1
06710454-1,05293065-1
06825553-3,05293065-1
06825553-4,05293065-1
05293424-2,05293424-2
05406607-1,05293424-2
05293511-2,05293511-2
06474819-3,05293511-2
06840633-1,05293511-2
04175552-1,05293623-2
04276730-1,05293623-2
04677318-1,05293623-2
05001368-1,05293623-2
05121006-1,05293623-2
05128565-1,05293623-2
05163070-1,05293623-2
05166604-2,05293623-2
05241224-3,05293623-2
05274581-2,05293623-2
05293623-2,05293623-2
05315172-1,05293623-2
05341308-1,05293623-2
05434514-2,05293623-2
05477474-2,05293623-2
05537341-2,05293623-2
05550782-6,05293623-2
05555214-2,05293623-2
05592102-1,05293623-2
05754063-1,05293623-2
05872529-1,05293623-2
05977793-4,05293623-2
06121790-5,05293623-2
06201747-2,05293623-2
06507216-2,05293623-2
06600337-1,05293623-2
06600337-2,05293623-2
06605962-7,05293623-2
06826741-9,05293623-2
06965249-12,05293623-2
06965249-2,05293623-2
03978452-2,05293630-1
04264963-1,05293630-1
04660130-1,05293630-1
04912636-4,05293630-1
05293630-1,05293630-1
05841379-1,05293630-1
05884023-2,05293630-1
06002876-2,05293630-1
06078940-1,05293630-1
06718544-2,05293630-1
06718544-5,05293630-1
05293873-1,05293873-1
05674787-3,05293873-1
06344157-5,05293873-1
04843131-6,05294501-1
05162167-2,05294501-1
05294501-1,05294501-1
05938979-2,05294501-1
05952125-3,05294501-1
05952125-4,05294501-1
06503646-3,05294501-1
06503646-5,05294501-1
06723435-2,05294501-1
06723435-4,05294501-1
06849334-1,05294501-1
06849334-10,05294501-1
06849334-11,05294501-1
06849334-2,05294501-1
06849334-4,05294501-1
04568900-6,05294762-1
05106701-1,05294762-1
05176366-1,05294762-1
05294762-1,05294762-1
06269999-3,05294762-1
06363791-3,05294762-1
06387734-1,05294762-1
06387734-3,05294762-1
04703418-1,05295101-1
05295101-1,05295101-1
06763426-2,05295101-1
06845024-0,05295101-1
04004619-3,05295154-1
04240299-2,05295154-1
