Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
1996	Rowing	Eights Women	Liliana Gafencu, Elena Georgescu, Vera Cochelea, Doina Ignat, Elisabeta Lipa, Anca Tanase, Doina Spircu, Marioara Popescu, Ioana Olteanu	ROM	Romania	Gold	379.73
1996	Rowing	Eights Women	Jessica Monroe, Heather McDermid, Maria Maunder, Emma Robinson, Lesley Thompson, Tosha Tsang, Anna van der Kamp, Theresa Luke, Alison Korn	CAN	Canada	Silver	384.05
1996	Rowing	Eights Women	Natalya Lavrinenko, Tamara Davydenko, Marina Znak, Natalya Volchek, Natalya Stasyuk, Valentina Skrabatun, Yelena Mikulich, Aleksandra Pankina, Yaroslava Pavlovich	BLR	Belarus	Bronze	384.44
1996	Rowing	Lightweight Coxless Fours Men	Niels Henriksen, Victor Feddersen, Eskild Ebbesen, Thomas Poulsen	DEN	Denmark	Gold	369.58
1996	Rowing	Lightweight Coxless Fours Men	Brian Peaker, Dave Boyes, Gavin Hassett, Jeffrey Lay	CAN	Canada	Silver	370.13
1996	Rowing	Lightweight Coxless Fours Men	David Collins, William Carlucci, Jeff Pfaendtner, Marc Schneider	USA	United States of America	Bronze	372.29
1996	Rowing	Lightweight Double Sculls Men	Markus Gier, Michael Gier	SUI	Switzerland	Gold	383.47
1996	Rowing	Lightweight Double Sculls Men	Pepijn Aardewijn, Maarten van der Linden	NED	Netherlands	Silver	386.48
1996	Rowing	Lightweight Double Sculls Men	Anthony Edwards, Bruce Hick	AUS	Australia	Bronze	386.69
1996	Rowing	Lightweight Double Sculls Women	Constanta Burcica-Pipota, Camelia Macoviciuc	ROM	Romania	Gold	432.78
1996	Rowing	Lightweight Double Sculls Women	Lindsay Burns, Teresa Bell	USA	United States of America	Silver	434.65
1996	Rowing	Lightweight Double Sculls Women	Virginia Lee, Rebecca Joyce	AUS	Australia	Bronze	436.56
1996	Rowing	Quadruple Sculls Men	Andreas Hajek, Andr? Steiner, Stephan Volkert, Andr? Willms	GER	Germany	Gold	356.93
1996	Rowing	Quadruple Sculls Men	Tim Young, Eric Mueller, Brian Jamieson, Jason Gailes	USA	United States of America	Silver	359.1
1996	Rowing	Quadruple Sculls Men	Duncan Free, Janusz Hooker, Bo Hanson, Ron Snook	AUS	Australia	Bronze	361.65
1996	Rowing	Quadruple Sculls Women	Jana Sorgers, Katrin Rutschow-Stomporowski, Kathrin Boron, Kerstin K?ppen	GER	Germany	Gold	387.44
1996	Rowing	Quadruple Sculls Women	Inna Frolova, Olena Ronzhina, Diana Miftakhutdinova, Svetlana Mazy	UKR	Ukraine	Silver	390.36
1996	Rowing	Quadruple Sculls Women	Marnie McBean, Diane O?Grady, Laryssa Biesenthal, Kathleen Heddle	CAN	Canada	Bronze	390.38
1996	Rowing	Single Sculls Men	Xeno M?ller	SUI	Switzerland	Gold	404.85
1996	Rowing	Single Sculls Men	Derek Porter	CAN	Canada	Silver	407.45
1996	Rowing	Single Sculls Men	Thomas Lange	GER	Germany	Bronze	407.72
1996	Rowing	Single Sculls Women	Yekaterina Khodotovich	BLR	Belarus	Gold	452.21
1996	Rowing	Single Sculls Women	Silken Laumann	CAN	Canada	Silver	455.15
1996	Rowing	Single Sculls Women	Trine Hansen	DEN	Denmark	Bronze	457.2
1996	Swimming	100m Backstroke Men	Jeff Rouse	USA	United States of America	Gold	54.1
1996	Swimming	100m Backstroke Men	Rodolfo Falcon	CUB	Cuba	Silver	54.98
1996	Swimming	100m Backstroke Men	Neisser Bent	CUB	Cuba	Bronze	55.02
1996	Swimming	100m Backstroke Women	Beth Botsford	USA	United States of America	Gold	61.19
1996	Swimming	100m Backstroke Women	Whitney Hedgepeth	USA	United States of America	Silver	61.47
1996	Swimming	100m Backstroke Women	Marianne Kriel	RSA	South Africa	Bronze	62.12
1996	Swimming	100m Breaststroke Men	Fred Deburghgraeve	BEL	Belgium	Gold	60.65
1996	Swimming	100m Breaststroke Men	Jeremy Linn	USA	United States of America	Silver	60.77
1996	Swimming	100m Breaststroke Men	Mark Warnecke	GER	Germany	Bronze	61.33
1996	Swimming	100m Breaststroke Women	Penny Heyns	RSA	South Africa	Gold	67.73
1996	Swimming	100m Breaststroke Women	Amanda Beard	USA	United States of America	Silver	68.09
1996	Swimming	100m Breaststroke Women	Samantha Riley	AUS	Australia	Bronze	69.18
1996	Swimming	100m Butterfly Men	Denis Pankratov	RUS	Russia	Gold	52.27
1996	Swimming	100m Butterfly Men	Scott Miller	AUS	Australia	Silver	52.53
1996	Swimming	100m Butterfly Men	Vladislav Kulikov	RUS	Russia	Bronze	53.13
1996	Swimming	100m Butterfly Women	Amy van Dyken	USA	United States of America	Gold	59.13
1996	Swimming	100m Butterfly Women	Limin Liu	CHN	China	Silver	59.14
1996	Swimming	100m Butterfly Women	Angel Martino	USA	United States of America	Bronze	59.23
1996	Swimming	100m Freestyle Men	Aleksandr Popov	RUS	Russia	Gold	48.74
1996	Swimming	100m Freestyle Men	Gary Hall Jr.	USA	United States of America	Silver	48.81
1996	Swimming	100m Freestyle Men	Gustavo Fran?a Borges	BRA	Brazil	Bronze	49.02
1996	Swimming	100m Freestyle Women	Jingyi Le	CHN	China	Gold	54.5
1996	Swimming	100m Freestyle Women	Sandra V?lker	GER	Germany	Silver	54.88
1996	Swimming	100m Freestyle Women	Angel Martino	USA	United States of America	Bronze	54.93
1996	Swimming	1500m Freestyle Men	Kieren Perkins	AUS	Australia	Gold	896.4
1996	Swimming	1500m Freestyle Men	Daniel Kowalski	AUS	Australia	Silver	902.43
1996	Swimming	1500m Freestyle Men	Graeme Smith	GBR	Great Britain	Bronze	902.48
1996	Swimming	200m Backstroke Men	Brad Bridgewater	USA	United States of America	Gold	118.54
1996	Swimming	200m Backstroke Men	Tripp Schwenk	USA	United States of America	Silver	118.99
1996	Swimming	200m Backstroke Men	Emanuele Merisi	ITA	Italy	Bronze	119.18
1996	Swimming	200m Backstroke Women	Krisztina Egerszegi	HUN	Hungary	Gold	127.83
1996	Swimming	200m Backstroke Women	Whitney Hedgepeth	USA	United States of America	Silver	131.98
1996	Swimming	200m Backstroke Women	Cathleen Rund	GER	Germany	Bronze	132.06
1996	Swimming	200m Breaststroke Men	Norbert R?zsa	HUN	Hungary	Gold	132.57
1996	Swimming	200m Breaststroke Men	K?roly G?ttler	HUN	Hungary	Silver	133.03
1996	Swimming	200m Breaststroke Men	Andrey Korneyev	RUS	Russia	Bronze	133.17
1996	Swimming	200m Breaststroke Women	Penny Heyns	RSA	South Africa	Gold	145.41
1996	Swimming	200m Breaststroke Women	Amanda Beard	USA	United States of America	Silver	145.75
1996	Swimming	200m Breaststroke Women	?gnes Kov?cs	HUN	Hungary	Bronze	146.57
1996	Swimming	200m Butterfly Men	Denis Pankratov	RUS	Russia	Gold	116.51
1996	Swimming	200m Butterfly Men	Tom Malchow	USA	United States of America	Silver	117.44
1996	Swimming	200m Butterfly Men	Scott Goodman	AUS	Australia	Bronze	117.48
1996	Swimming	200m Butterfly Women	Susan O'Neill	AUS	Australia	Gold	127.76
1996	Swimming	200m Butterfly Women	Petria Thomas	AUS	Australia	Silver	129.82
1996	Swimming	200m Butterfly Women	Michelle Smith	IRL	Ireland	Bronze	129.91
1996	Swimming	200m Freestyle Men	Danyon Loader	NZL	New Zealand	Gold	107.63
1996	Swimming	200m Freestyle Men	Gustavo Fran?a Borges	BRA	Brazil	Silver	108.08
1996	Swimming	200m Freestyle Men	Daniel Kowalski	AUS	Australia	Bronze	108.25
1996	Swimming	200m Freestyle Women	Claudia Poll	CRC	Costa Rica	Gold	118.16
1996	Swimming	200m Freestyle Women	Franziska van Almsick	GER	Germany	Silver	118.57
1996	Swimming	200m Freestyle Women	Dagmar Hase	GER	Germany	Bronze	119.56
1996	Swimming	200m Individual Medley Men	Attila Czene	HUN	Hungary	Gold	119.91
1996	Swimming	200m Individual Medley Men	Jani Sievinen	FIN	Finland	Silver	120.13
1996	Swimming	200m Individual Medley Men	Curtis Myden	CAN	Canada	Bronze	121.13
1996	Swimming	200m Individual Medley Women	Michelle Smith	IRL	Ireland	Gold	133.93
1996	Swimming	200m Individual Medley Women	Marianne Limpert	CAN	Canada	Silver	134.35
1996	Swimming	200m Individual Medley Women	Li Lin	CHN	China	Bronze	134.74
1996	Swimming	400m Freestyle Men	Danyon Loader	NZL	New Zealand	Gold	227.97
1996	Swimming	400m Freestyle Men	Paul Palmer	GBR	Great Britain	Silver	229
1996	Swimming	400m Freestyle Men	Daniel Kowalski	AUS	Australia	Bronze	229.39
1996	Swimming	400m Freestyle Women	Michelle Smith	IRL	Ireland	Gold	247.25
1996	Swimming	400m Freestyle Women	Dagmar Hase	GER	Germany	Silver	248.3
1996	Swimming	400m Freestyle Women	Kirsten Vlieghuis	NED	Netherlands	Bronze	248.7
1996	Swimming	400m Individual Medley Men	Tom Dolan	USA	United States of America	Gold	254.9
1996	Swimming	400m Individual Medley Men	Eric Namesnik	USA	United States of America	Silver	255.25
1996	Swimming	400m Individual Medley Men	Curtis Myden	CAN	Canada	Bronze	256.28
1996	Swimming	400m Individual Medley Women	Michelle Smith	IRL	Ireland	Gold	279.18
1996	Swimming	400m Individual Medley Women	Allison Wagner	USA	United States of America	Silver	282.03
1996	Swimming	400m Individual Medley Women	Krisztina Egerszegi	HUN	Hungary	Bronze	282.53
1996	Swimming	4x100m Freestyle Relay Men	David Fox, Scott Tucker, Jon Olsen, Brad Schumacher, Josh Davis, Gary Hall Jr.	USA	United States of America	Gold	195.41
1996	Swimming	4x100m Freestyle Relay Men	Denis Pimankov, Roman Yegorov, Vladimir Predkin, Vladimir Pyshnenko, Aleksandr Popov	RUS	Russia	Silver	197.06
1996	Swimming	4x100m Freestyle Relay Men	Alexander Luderitz, Mark Pinger, Bengt Zikarsky, Bj?rn Zikarsky, Christian Tr?ger	GER	Germany	Bronze	197.2
1996	Swimming	4x100m Freestyle Relay Women	Catherine Fox, Lisa Jacob, Angel Martino, Jenny Thompson, Melanie Valerio, Amy van Dyken	USA	United States of America	Gold	219.29
1996	Swimming	4x100m Freestyle Relay Women	Jingyi Le, Yun Nian, Ying Shan, Na Chao	CHN	China	Silver	220.48
1996	Swimming	4x100m Freestyle Relay Women	Antje Buschschulte, Meike Freitag, Simone Osygus, Sandra V?lker, Franziska van Almsick	GER	Germany	Bronze	221.48
1996	Swimming	4x100m Medley Relay Men	Kurt Grote, Josh Davis, Mark Henderson, Gary Hall Jr., John Hargis, Jeremy Linn, Jeff Rouse, Tripp Schwenk	USA	United States of America	Gold	214.84
1996	Swimming	4x100m Medley Relay Men	Vladimir Selkov, Aleksandr Popov, Stanislav Lopukhov, Denis Pankratov, Roman Ivanovskiy, Vladislav Kulikov, Roman Yegorov	RUS	Russia	Silver	217.55
1996	Swimming	4x100m Medley Relay Men	Michael Klim, Toby Haenen, Steven Dewick, Scott Miller, Philip Rogers	AUS	Australia	Bronze	219.56
1996	Swimming	4x100m Medley Relay Women	Amy van Dyken, Jenny Thompson, Angel Martino, Kristine Quance, Catherine Fox, Amanda Beard, Beth Botsford, Whitney Hedgepeth	USA	United States of America	Gold	242.88
1996	Swimming	4x100m Medley Relay Women	Angela Kennedy, Helen Denman, Samantha Riley, Sarah Ryan, Nicole Stevenson, Susan O'Neill	AUS	Australia	Silver	245.08
1996	Swimming	4x100m Medley Relay Women	Ying Shan, Huijue Cai, Yan Chen, Xue Han	CHN	China	Bronze	247.34
1996	Swimming	4x200m Freestyle Relay Men	Jon Olsen, Brad Schumacher, Joe Hudepohl, Josh Davis, Ryan Berube	USA	United States of America	Gold	434.84
1996	Swimming	4x200m Freestyle Relay Men	Lars Fr?lander, Anders Holmertz, Anders Lyrbring, Christer Wallin	SWE	Sweden	Silver	437.56
1996	Swimming	4x200m Freestyle Relay Men	Steffen Zesner, Christian Tr?ger, Oliver Lampe, Christian Keller, Aimo Heilmann, Konstantin Dubrovin	GER	Germany	Bronze	437.71
1996	Swimming	4x200m Freestyle Relay Women	Lisa Jacob, Trina Jackson, Sheila Taormina, Cristina Teuscher, Annette Salmeen, Ashley Whitney, Jenny Thompson	USA	United States of America	Gold	479.87
1996	Swimming	4x200m Freestyle Relay Women	Franziska van Almsick, Sandra V?lker, Simone Osygus, Kerstin Kielga?, Dagmar Hase, Meike Freitag	GER	Germany	Silver	481.55
1996	Swimming	4x200m Freestyle Relay Women	Julia Greville, Emma Johnson, Susan O'Neill, Lise Mackie, Nicole Stevenson	AUS	Australia	Bronze	485.47
1996	Swimming	50m Freestyle Men	Aleksandr Popov	RUS	Russia	Gold	22.13
1996	Swimming	50m Freestyle Men	Gary Hall Jr.	USA	United States of America	Silver	22.26
1996	Swimming	50m Freestyle Men	Fernando Scherer	BRA	Brazil	Bronze	22.29
1996	Swimming	50m Freestyle Women	Amy van Dyken	USA	United States of America	Gold	24.87
1996	Swimming	50m Freestyle Women	Jingyi Le	CHN	China	Silver	24.9
1996	Swimming	50m Freestyle Women	Sandra V?lker	GER	Germany	Bronze	25.14
1996	Swimming	800m Freestyle Women	Brooke Bennett	USA	United States of America	Gold	507.89
1996	Swimming	800m Freestyle Women	Dagmar Hase	GER	Germany	Silver	509.91
1996	Swimming	800m Freestyle Women	Kirsten Vlieghuis	NED	Netherlands	Bronze	510.84
1992	Athletics	10000m Men	Khalid Skah	MAR	Morocco	Gold	1666.7
1992	Athletics	10000m Men	Richard Chelimo	KEN	Kenya	Silver	1667.72
1992	Athletics	10000m Men	Addis Abebe	ETH	Ethiopia	Bronze	1680.07
1992	Athletics	10000m Women	Derartu Tulu	ETH	Ethiopia	Gold	1866.02
1992	Athletics	10000m Women	Elana Meyer	RSA	South Africa	Silver	1871.75
1992	Athletics	10000m Women	Lynn Jennings	USA	United States of America	Bronze	1879.89
1992	Athletics	100m Hurdles Women	Voula Patoulidou	GRE	Greece	Gold	12.64
1992	Athletics	100m Hurdles Women	LaVonna Martin	USA	United States of America	Silver	12.69
1992	Athletics	100m Hurdles Women	Yordanka Donkova	BUL	Bulgaria	Bronze	12.7
1992	Athletics	100m Men	Linford Christie	GBR	Great Britain	Gold	9.96
1992	Athletics	100m Men	Frankie Fredericks	NAM	Namibia	Silver	10.02
1992	Athletics	100m Men	Dennis Mitchell	USA	United States of America	Bronze	10.04
1992	Athletics	100m Women	Gail Devers	USA	United States of America	Gold	10.82
1992	Athletics	100m Women	Juliet Cuthbert	JAM	Jamaica	Silver	10.83
1992	Athletics	100m Women	Irina Privalova	URS	Soviet Union	Bronze	10.84
1992	Athletics	110m Hurdles Men	Mark McCoy	CAN	Canada	Gold	13.12
1992	Athletics	110m Hurdles Men	Tony Dees	USA	United States of America	Silver	13.24
1992	Athletics	110m Hurdles Men	Jack Pierce	USA	United States of America	Bronze	13.26
1992	Athletics	1500m Men	Fermin Cacho	ESP	Spain	Gold	220.12
1992	Athletics	1500m Men	Rachid El Basir	MAR	Morocco	Silver	220.62
1992	Athletics	1500m Men	Mohamed Sulaiman	QAT	Qatar	Bronze	220.69
1992	Athletics	1500m Women	Hassiba Boulmerka	ALG	Algeria	Gold	235.3
1992	Athletics	1500m Women	Lyudmila Rogachova	URS	Soviet Union	Silver	236.91
1992	Athletics	1500m Women	Yunxia Qu	CHN	China	Bronze	237.08
1992	Athletics	200m Men	Mike Marsh	USA	United States of America	Gold	20.01
1992	Athletics	200m Men	Frankie Fredericks	NAM	Namibia	Silver	20.13
1992	Athletics	200m Men	Michael Bates	USA	United States of America	Bronze	20.38
1992	Athletics	200m Women	Gwen Torrence	USA	United States of America	Gold	21.81
1992	Athletics	200m Women	Juliet Cuthbert	JAM	Jamaica	Silver	22.02
1992	Athletics	200m Women	Merlene Ottey-Page	JAM	Jamaica	Bronze	22.09
1992	Athletics	20km Walk Men	Daniel Plaza	ESP	Spain	Gold	4905
1992	Athletics	20km Walk Men	Guillaume LeBlanc	CAN	Canada	Silver	4945
1992	Athletics	20km Walk Men	Giovanni de Benedictis	ITA	Italy	Bronze	4991
1992	Athletics	3000m Steeplechase Men	Matthew Birir	KEN	Kenya	Gold	488.84
1992	Athletics	3000m Steeplechase Men	Patrick Sang	KEN	Kenya	Silver	489.55
1992	Athletics	3000m Steeplechase Men	William Mutwol	KEN	Kenya	Bronze	490.74
1992	Athletics	400m Hurdles Men	Kevin Young	USA	United States of America	Gold	46.78
1992	Athletics	400m Hurdles Men	Winthrop Graham	JAM	Jamaica	Silver	47.66
1992	Athletics	400m Hurdles Men	Kriss Akabusi	GBR	Great Britain	Bronze	47.82
1992	Athletics	400m Hurdles Women	Sally Gunnell	GBR	Great Britain	Gold	53.23
1992	Athletics	400m Hurdles Women	Sandra Farmer-Patrick	USA	United States of America	Silver	53.69
1992	Athletics	400m Hurdles Women	Janeene Vickers	USA	United States of America	Bronze	54.31
1992	Athletics	400m Men	Quincy Watts	USA	United States of America	Gold	43.5
1992	Athletics	400m Men	Steve Lewis	USA	United States of America	Silver	44.21
1992	Athletics	400m Men	Samson Kitur	KEN	Kenya	Bronze	44.24
1992	Athletics	400m Women	Marie-Jos? P?rec	FRA	France	Gold	48.83
1992	Athletics	400m Women	Olga Bryzgina	URS	Soviet Union	Silver	49.05
1992	Athletics	400m Women	Ximena Restrepo	COL	Colombia	Bronze	49.64
1992	Athletics	4x100m Relay Men	Dennis Mitchell, Mike Marsh, Carl Lewis, Leroy Burrell	USA	United States of America	Gold	37.4
1992	Athletics	4x100m Relay Men	Olapade Adeniken, Davidson Ezinwa, Chidi Imoh, Oluyemi Kayode	NGR	Nigeria	Silver	37.98
1992	Athletics	4x100m Relay Men	Joel Lamela, Andr?s Sim?n, Joel Isasi, Jorge Aguilera	CUB	Cuba	Bronze	38
1992	Athletics	4x100m Relay Women	Gwen Torrence, Carlette Guidry, Esther Jones, Evelyn Ashford	USA	United States of America	Gold	42.11
1992	Athletics	4x100m Relay Women	Olga Bogoslovskaya, Galina Malchugina, Irina Privalova, Marina Trandenkova	URS	Soviet Union	Silver	42.16
1992	Athletics	4x100m Relay Women	Beatrice Utondu, Mary Onyali, Christy Opara-Thompson, Faith Idehen	NGR	Nigeria	Bronze	42.81
1992	Athletics	4x400m Relay Men	Michael Johnson, Steve Lewis, Quincy Watts, Andrew Valmon	USA	United States of America	Gold	175.74
1992	Athletics	4x400m Relay Men	Norberto T?llez, L?zaro Mart?nez, Roberto Hern?ndez, H?ctor Herrera	CUB	Cuba	Silver	179.51
1992	Athletics	4x400m Relay Men	David Grindley, Kriss Akabusi, Roger Black, John Regis	GBR	Great Britain	Bronze	179.73
1992	Athletics	4x400m Relay Women	Lyudmila Dzhigalova, Olga Bryzgina, Yelena Ruzina, Olga Nazarova	URS	Soviet Union	Gold	200.2
1992	Athletics	4x400m Relay Women	Jearl Miles, Natasha Kaiser, Rochelle Stevens, Gwen Torrence	USA	United States of America	Silver	200.92
1992	Athletics	4x400m Relay Women	Jennifer Stoute, Phylis Smith, Sandra Douglas, Sally Gunnell	GBR	Great Britain	Bronze	204.23
1992	Athletics	5000m Men	Dieter Baumann	GER	Germany	Gold	792.52
1992	Athletics	5000m Men	Paul Bitok	KEN	Kenya	Silver	792.71
1992	Athletics	5000m Men	Fita Bayissa	ETH	Ethiopia	Bronze	793.03
1992	Athletics	50km Walk Men	Andrey Perlov	URS	Soviet Union	Gold	13813
1992	Athletics	50km Walk Men	Carlos Mercenario	MEX	Mexico	Silver	13929
1992	Athletics	50km Walk Men	Ronald Weigel	GER	Germany	Bronze	14025
1992	Athletics	800m Men	William Tanui	KEN	Kenya	Gold	103.66
1992	Athletics	800m Men	Nixon Kiprotich	KEN	Kenya	Silver	103.7
1992	Athletics	800m Men	Johnny Gray	USA	United States of America	Bronze	103.97
1992	Athletics	800m Women	Ellen van Langen	NED	Netherlands	Gold	115.54
1992	Athletics	800m Women	Liliya Nurutdinova	URS	Soviet Union	Silver	115.99
1992	Athletics	800m Women	Ana Quirot	CUB	Cuba	Bronze	116.8
1992	Athletics	Marathon Men	Young-cho Hwang	KOR	South Korea	Gold	8003
1992	Athletics	Marathon Men	Koichi Morishita	JPN	Japan	Silver	8025
1992	Athletics	Marathon Men	Stephan Freigang	GER	Germany	Bronze	8040
1992	Athletics	Marathon Women	Valentina Yegorova	URS	Soviet Union	Gold	9161
1992	Athletics	Marathon Women	Yuko Arimori	JPN	Japan	Silver	9169
1992	Athletics	Marathon Women	Lorraine Moller	NZL	New Zealand	Bronze	9239
1992	Canoeing	C1 1000m Canadian Singles Men	Nikolay Bukhalov	BUL	Bulgaria	Gold	245.92
1992	Canoeing	C1 1000m Canadian Singles Men	Ivans Klementjevs	LAT	Latvia	Silver	246.6
1992	Canoeing	C1 1000m Canadian Singles Men	Gy?rgy Zala	HUN	Hungary	Bronze	247.35
1992	Canoeing	C1 500m Canadian Singles Men	Nikolay Bukhalov	BUL	Bulgaria	Gold	111.15
1992	Canoeing	C1 500m Canadian Singles Men	Mikhail Slivinsky	URS	Soviet Union	Silver	111.4
1992	Canoeing	C1 500m Canadian Singles Men	Olaf Heukrodt	GER	Germany	Bronze	113
1992	Canoeing	C2 1000m Canadian Pairs Men	Ulrich Papke, Ingo Spelly	GER	Germany	Gold	217.42
1992	Canoeing	C2 1000m Canadian Pairs Men	Arne Nielsson, Christian Wig?	DEN	Denmark	Silver	219.26
1992	Canoeing	C2 1000m Canadian Pairs Men	Didier Hoyer, Olivier Boivin	FRA	France	Bronze	219.51
1992	Canoeing	C2 500m Canadian Pairs Men	Aleksandr Maseykov, Dmitry Dovgalenok	URS	Soviet Union	Gold	101.54
1992	Canoeing	C2 500m Canadian Pairs Men	Ingo Spelly, Ulrich Papke	GER	Germany	Silver	101.68
1992	Canoeing	C2 500m Canadian Pairs Men	Martin Georgiev Marinov, Blagovest Stoyanov	BUL	Bulgaria	Bronze	101.94
1992	Canoeing	K1 1000m Kayak Singles Men	Clint Robinson	AUS	Australia	Gold	217.26
1992	Canoeing	K1 1000m Kayak Singles Men	Knut Holmann	NOR	Norway	Silver	217.5
1992	Canoeing	K1 1000m Kayak Singles Men	Greg Barton	USA	United States of America	Bronze	217.93
1992	Canoeing	K1 500m Kayak Singles Men	Yrj? Kolehmainen	FIN	Finland	Gold	100.43
1992	Canoeing	K1 500m Kayak Singles Men	Zsolt Gyulai	HUN	Hungary	Silver	100.64
1992	Canoeing	K1 500m Kayak Singles Men	Knut Holmann	NOR	Norway	Bronze	100.71
1992	Canoeing	K1 500m Kayak Singles Women	Birgit Fischer	GER	Germany	Gold	111.6
1992	Canoeing	K1 500m Kayak Singles Women	Rita K?b?n	HUN	Hungary	Silver	111.96
1992	Canoeing	K1 500m Kayak Singles Women	Izabella Dylewska	POL	Poland	Bronze	112.36
1992	Canoeing	K2 1000m Kayak Pairs Men	Torsten Gutsche, Kay Bluhm	GER	Germany	Gold	196.1
1992	Canoeing	K2 1000m Kayak Pairs Men	Gunnar Olsson, Karl Sundqvist	SWE	Sweden	Silver	197.7
1992	Canoeing	K2 1000m Kayak Pairs Men	Grzegorz Kotowicz, Dariusz Bialkowski	POL	Poland	Bronze	198.86
1992	Canoeing	K2 500m Kayak Pairs Men	Kay Bluhm, Torsten Gutsche	GER	Germany	Gold	88.27
1992	Canoeing	K2 500m Kayak Pairs Men	Maciej Freimut, Wojciech Krupiewski	POL	Poland	Silver	89.84
1992	Canoeing	K2 500m Kayak Pairs Men	Antonio Rossi, Bruno Dreossi	ITA	Italy	Bronze	90
1992	Canoeing	K2 500m Kayak Pairs Women	Ramona Portwich, Anke Nothnagel-Von Seck	GER	Germany	Gold	100.29
1992	Canoeing	K2 500m Kayak Pairs Women	Susanne Gunnarsson-Wiberg, Agneta Andersson	SWE	Sweden	Silver	100.41
1992	Canoeing	K2 500m Kayak Pairs Women	?va D?nusz, Rita K?b?n	HUN	Hungary	Bronze	100.81
1992	Canoeing	K4 1000m Kayak Fours Men	Oliver Kegel, Thomas Reineck, Mario von Appen, Andr? Wohllebe	GER	Germany	Gold	174.18
1992	Canoeing	K4 1000m Kayak Fours Men	Attila ?brah?m, Ferenc Csipes, Zsolt Gyulai, L?szl? Fidel	HUN	Hungary	Silver	174.82
1992	Canoeing	K4 1000m Kayak Fours Men	Kelvin Graham, Ramon Andersson, Ian Rowling, Steven Wood	AUS	Australia	Bronze	176.97
1992	Canoeing	K4 500m Kayak Fours Women	Rita K?b?n, Erika M?sz?ros, ?va D?nusz, Kinga Czig?ny	HUN	Hungary	Gold	98.32
1992	Canoeing	K4 500m Kayak Fours Women	Katrin Borchert, Birgit Fischer, Anke Nothnagel-Von Seck, Ramona Portwich	GER	Germany	Silver	98.47
1992	Canoeing	K4 500m Kayak Fours Women	Anna Olsson, Susanne Rosenqvist, Maria Haglund, Agneta Andersson	SWE	Sweden	Bronze	99.79
1992	Rowing	Coxless Fours Men	Mike McKay, James Tomkins, Andrew Cooper, Nicholas Green	AUS	Australia	Gold	355.04
1992	Rowing	Coxless Fours Men	Thomas Bohrer, William Burden, Jeffrey McLaughlin, Patrick Manning	USA	United States of America	Silver	356.68
1992	Rowing	Coxless Fours Men	Saso Mirjanic, Sadik Mujkic, Milan Jansa, Janez Klemencic	SLO	Slovenia	Bronze	358.24
1992	Rowing	Coxless Pairs Men	Steven Redgrave, Matthew Pinsent	GBR	Great Britain	Gold	387.72
1992	Rowing	Coxless Pairs Men	Colin von Ettingshausen, Peter H?ltzenbein	GER	Germany	Silver	392.68
1992	Rowing	Coxless Pairs Men	Iztok Cop, Denis Zvegelj	SLO	Slovenia	Bronze	393.43
1992	Rowing	Coxless Pairs Women	Marnie McBean, Kathleen Heddle	CAN	Canada	Gold	426.22
1992	Rowing	Coxless Pairs Women	Stefani Werremeier, Ingeborg Schwerzmann	GER	Germany	Silver	427.96
1992	Rowing	Coxless Pairs Women	Anna Seaton, Stephanie Maxwell-Pierson	USA	United States of America	Bronze	428.11
1992	Rowing	Double Sculls Men	Peter Antonie, Stephen Hawkins	AUS	Australia	Gold	377.32
1992	Rowing	Double Sculls Men	Arnold Jonke, Christoph Zerbst	AUT	Austria	Silver	378.42
1992	Rowing	Double Sculls Men	Henk-Jan Zwolle, Nico Rienks	NED	Netherlands	Bronze	382.82
1992	Rowing	Double Sculls Women	Kerstin K?ppen, Kathrin Boron	GER	Germany	Gold	409
1992	Rowing	Double Sculls Women	Vera Cochelea, Elisabeta Lipa	ROM	Romania	Silver	411.47
1992	Rowing	Double Sculls Women	Huali Lu, Xiaoli Gu	CHN	China	Bronze	415.16
1992	Rowing	Eights Men	John Wallace, Bruce Robertson, Michael Rascher, Derek Porter, Terrence Paul, Robert Marland, Mike Forgeron, Andrew Crosby, Darren Barber	CAN	Canada	Gold	329.53
1992	Rowing	Eights Men	Danut Dobre, Marin Gheorghe, Vasile lonel Mastacan, Claudiu Gabriel Marin, Vasile Dorel Nastase, loan lulian Vizitiu, Iulica Ruican, Viorel Talapan, Valentin Robu	ROM	Romania	Silver	329.67
1992	Rowing	Eights Men	Hans Sennewald, Thorsten Streppelhoff, Bahne Rabe, Frank Richter, Detlef Kirchhoff, Manfred Klein, Armin Eichholz, Roland Baar, Ansgar Wessling	GER	Germany	Bronze	331
1992	Rowing	Eights Women	Jessica Monroe, Marnie McBean, Brenda Taylor, Lesley Thompson, Kay Worthington, Kathleen Heddle, Megan Delehanty, Shannon Crawford, Kirsten Barnes	CAN	Canada	Gold	362.62
1992	Rowing	Eights Women	Adriana Bazon-Chelariu, lulia Bobeica, Elena Georgescu, Viorica Lepadatu, Viorica Neculai, Ioana Olteanu, Maria Paduraru, Doina Robu	ROM	Romania	Silver	366.26
1992	Rowing	Eights Women	Cerstin Petersmann, Dana Pyritz, Daniela Neunast, Judith Zeidler, Ute Wagner-Stange, Annegret Strauch, Kathrin Haacker, Christiane Harzendorf, Sylvia D?rdelmann	GER	Germany	Bronze	367.8
