Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Athletics	4x100m Relay Women	Veronica CAMPBELL-BROWN, Sherone SIMPSON, Kerron STEWART, Shelly-Ann FRASER-PRYCE	JAM	Jamaica	Silver	41.41
2012	Athletics	4x100m Relay Women	Yelyzaveta BRYZGINA, Olesya POVH, Mariya RYEMYEN, Hrystyna STUY	UKR	Ukraine	Bronze	42.04
2012	Athletics	4x400m Relay Men	Ramon MILLER, Chris BROWN, Michael MATHIEU, Demetrius PINDER	BAH	Bahamas	Gold	176.72
2012	Athletics	4x400m Relay Men	Angelo TAYLOR, Tony MCQUAY, Bryshon NELLUM, Joshua MANCE	USA	United States of America	Silver	177.05
2012	Athletics	4x400m Relay Men	Lalonde GORDON, Deon LENDORE, Jarrin SOLOMON, Ade ALLEYNE-FORTE	TTO	Trinidad and Tobago	Bronze	179.40
2012	Athletics	4x400m Relay Women	Allyson FELIX, Deedee TROTTER, Sanya RICHARDS-ROSS, Francena MCCORORY	USA	United States of America	Gold	196.87
2012	Athletics	4x400m Relay Women	Natalya ANTYUKH, Tatiana FIROVA, Yulia GUSHCHINA, Antonina KRIVOSHAPKA	RUS	Russia	Silver	200.23
2012	Athletics	4x400m Relay Women	Rosemarie WHYTE, Shericka WILLIAMS, Novlene WILLIAMS-MILLS, Christine DAY	JAM	Jamaica	Bronze	200.95
2012	Athletics	5000m Men	Mo FARAH	GBR	Great Britain	Gold	821.66
2012	Athletics	5000m Men	Dejen GEBREMESKEL	ETH	Ethiopia	Silver	821.98
2012	Athletics	5000m Men	Thomas Pkemei LONGOSIWA	KEN	Kenya	Bronze	822.36
2012	Athletics	5000m Women	Meseret DEFAR	ETH	Ethiopia	Gold	904.25
2012	Athletics	5000m Women	Vivian CHERUIYOT	KEN	Kenya	Silver	904.73
2012	Athletics	5000m Women	Tirunesh DIBABA	ETH	Ethiopia	Bronze	905.15
2012	Athletics	50km Walk Men	Sergey KIRDYAPKIN	RUS	Russia	Gold	12959.00
2012	Athletics	50km Walk Men	Jared TALLENT	AUS	Australia	Silver	13013.00
2012	Athletics	50km Walk Men	Tianfeng SI	CHN	China	Bronze	13036.00
2012	Athletics	800m Men	David Lekuta RUDISHA	KEN	Kenya	Gold	100.91
2012	Athletics	800m Men	Nijel AMOS	BOT	Botswana	Silver	101.73
2012	Athletics	800m Men	Timothy KITUM	KEN	Kenya	Bronze	102.53
2012	Athletics	800m Women	Mariya SAVINOVA	RUS	Russia	Gold	116.19
2012	Athletics	800m Women	Caster SEMENYA	RSA	South Africa	Silver	117.23
2012	Athletics	800m Women	Ekaterina POISTOGOVA	RUS	Russia	Bronze	117.53
2012	Athletics	Marathon Men	Stephen KIPROTICH	UGA	Uganda	Gold	7681.00
2012	Athletics	Marathon Men	Abel KIRUI	KEN	Kenya	Silver	7707.00
2012	Athletics	Marathon Men	Wilson Kipsang KIPROTICH	KEN	Kenya	Bronze	7777.00
2012	Athletics	Marathon Women	Tiki GELANA	ETH	Ethiopia	Gold	8587.00
2012	Athletics	Marathon Women	Priscah JEPTOO	KEN	Kenya	Silver	8592.00
2012	Athletics	Marathon Women	Tatyana PETROVA ARKHIPOVA	RUS	Russia	Bronze	8609.00
2012	Canoeing	C1 1000m Canadian Singles Men	Sebastian BRENDEL	GER	Germany	Gold	227.18
2012	Canoeing	C1 1000m Canadian Singles Men	David CAL	ESP	Spain	Silver	228.05
2012	Canoeing	C1 1000m Canadian Singles Men	Mark OLDERSHAW	CAN	Canada	Bronze	228.50
2012	Canoeing	C1 200m Canadian Singles Men	Yuriy CHEBAN	UKR	Ukraine	Gold	42.29
2012	Canoeing	C1 200m Canadian Singles Men	Jevgenij SHUKLIN	LTU	Lithuania	Silver	42.79
2012	Canoeing	C1 200m Canadian Singles Men	Ivan SHTYL	RUS	Russia	Bronze	42.85
2012	Canoeing	C2 1000m Canadian Pairs Men	Peter KRETSCHMER, Kurt KUSCHELA	GER	Germany	Gold	213.80
2012	Canoeing	C2 1000m Canadian Pairs Men	Aliaksandr BAHDANOVICH, Andrei BAHDANOVICH	BLR	Belarus	Silver	215.21
2012	Canoeing	C2 1000m Canadian Pairs Men	Alexey KOROVASHKOV, Ilya PERVUKHIN	RUS	Russia	Bronze	216.41
2012	Canoeing	K1 1000m Kayak Singles Men	Eirik Veraas LARSEN	NOR	Norway	Gold	206.46
2012	Canoeing	K1 1000m Kayak Singles Men	Adam VAN KOEVERDEN	CAN	Canada	Silver	207.17
2012	Canoeing	K1 1000m Kayak Singles Men	Max HOFF	GER	Germany	Bronze	207.76
2012	Canoeing	K1 200m Kayak Singles Men	Ed MCKEEVER	GBR	Great Britain	Gold	36.25
2012	Canoeing	K1 200m Kayak Singles Men	Saul CRAVIOTTO RIVERO	ESP	Spain	Silver	36.54
2012	Canoeing	K1 200m Kayak Singles Men	Mark DE JONGE	CAN	Canada	Bronze	36.66
2012	Canoeing	K1 200m Kayak Singles Women	Lisa CARRINGTON	NZL	New Zealand	Gold	44.64
2012	Canoeing	K1 200m Kayak Singles Women	Inna OSYPENKO	UKR	Ukraine	Silver	45.05
2012	Canoeing	K1 200m Kayak Singles Women	Natasa JANIC	HUN	Hungary	Bronze	45.13
2012	Canoeing	K1 500m Kayak Singles Women	Danuta KOZAK	HUN	Hungary	Gold	111.46
2012	Canoeing	K1 500m Kayak Singles Women	Inna OSYPENKO	UKR	Ukraine	Silver	112.69
2012	Canoeing	K1 500m Kayak Singles Women	Bridgitte HARTLEY	RSA	South Africa	Bronze	112.92
2012	Canoeing	K2 1000m Kayak Pairs Men	Roland KOKENY, Rudolf DOMBI	HUN	Hungary	Gold	189.65
2012	Canoeing	K2 1000m Kayak Pairs Men	Emanuel SILVA, Fernando PIMENT	POR	Portugal	Silver	189.70
2012	Canoeing	K2 1000m Kayak Pairs Men	Andreas IHLE, Martin HOLLSTEIN	GER	Germany	Bronze	190.12
2012	Canoeing	K2 200m Kayak Pairs Men	Yury POSTRIGAY, Alexander DYACHENKO	RUS	Russia	Gold	33.51
2012	Canoeing	K2 200m Kayak Pairs Men	Vadzim MAKHNEU, Raman PIATRUSHENKA	BLR	Belarus	Silver	34.27
2012	Canoeing	K2 200m Kayak Pairs Men	Liam HEATH, Jon SCHOFIELD	GBR	Great Britain	Bronze	34.42
2012	Canoeing	K2 500m Kayak Pairs Women	Tina DIETZE, Franziska WEBER	GER	Germany	Gold	102.21
2012	Canoeing	K2 500m Kayak Pairs Women	Katalin KOVACS, Natasa JANIC	HUN	Hungary	Silver	103.28
2012	Canoeing	K2 500m Kayak Pairs Women	Beata MIKOLAJCZYK, Karolina NAJA	POL	Poland	Bronze	104.00
2012	Canoeing	K4 1000m Kayak Fours Men	Jacob CLEAR, David SMITH, Tate SMITH, Murray STEWART	AUS	Australia	Gold	175.09
2012	Canoeing	K4 1000m Kayak Fours Men	Zoltan KAMMERER, Tamas KULIFAI, Daniel PAUMAN, David TOTH	HUN	Hungary	Silver	175.70
