Athlete	CountryCode	Medals
david sime	USA	1
david theile	AUS	2
david townsend, ian mcnuff, martin cross, john beattie	GBR	1
david wharton	USA	1
david wilkie	GBR	3
david wilson	USA	1
davis kamoga	UGA	1
dawn fraser	AUS	4
dawn harper	USA	2
dayron robles	CUB	1
debbie ferguson	BAH	1
debbie flintoff-king	AUS	1
debbie flood, frances houghton, alison mowbray, rebecca romero	GBR	1
debbie meyer	USA	3
debra sapenter, rosalyn bryant, pamela jiles, sheila ingram	USA	1
deedee trotter	USA	1
deena kastor	USA	1
dejen gebremeskel	ETH	1
delfo cabrera	ARG	1
demitrios golemis	GRE	1
denis alexeev, vladislav frolov, maksim dyldin, anton kokorin	RUS	1
denis nizhegorodov	RUS	2
denis pankratov	RUS	2
denis pimankov, roman yegorov, vladimir predkin, vladimir pyshnenko, aleksandr popov	RUS	1
dennis mitchell	USA	1
dennis mitchell, mike marsh, carl lewis, leroy burrell	USA	1
denys sylant'yev	UKR	1
deon hemmings	JAM	2
deon hemmings, lorraine graham, sandie richards, catherine scott-pomales	JAM	1
derartu tulu	ETH	3
derek ibbotson	GBR	1
derek johnson	GBR	1
derek porter	CAN	1
derrick adkins	USA	1
derrick brew	USA	1
derrick brew, otis harris jr, darold williamson, jeremy wariner	USA	1
detlef lewe	FRG	2
diana mocanu	ROM	2
diana munz	USA	2
diana munz, julia stowers, lindsay benko, kim black, samantha arsenault, jenny thompson	USA	1
diana paliyska, vanja gesheva-tsvetkova	BUL	1
dick quax	NZL	1
didier hoyer, eric renaud	FRA	1
didier hoyer, olivier boivin	FRA	1
diederik simon, niels van der zwan, nico rienks, koos maasdijk, jeroen duyster, ronald florijn, michiel bartman, henk-jan zwolle, niels van steenis	NED	1
dieter baumann	FRG	1
dieter baumann	GER	1
dieter grahn, frank forberger, dieter schubert, frank r?hle	GDR	1
dieter lindner	GER	1
dieter wendisch, karl-heinz prud?hl, roland kostulski, hans-joachim l?ck, gottfried d?hn, werner klatt, ulrich karnatz, karl-heinz danielowski, bernd baumgart	GDR	1
dimitrie ivanov, haralambie ivanov, anton calenic, mihai turcas	ROM	1
ding chen	CHN	1
dirk crois, pierre-marie deloof	BEL	1
dirk lippits, michiel bartman, diederik simon, jochem verberne	NED	1
dirk richter, steffen zesner, thomas flemming, lars hinneburg	GDR	1
disqualified, usa	NA	1
djan madruga, jorge fernandes, ciro marques delgado, marcus mattioli	BRA	1
djurdica bjedov	YUG	2
dmitry volkov	URS	1
dmitry volkov, vadim yaroshchuk, gennady prigoda, igor polyansky	URS	1
doina ignat, constanta burcica-pipota, georgeta andrunache, eniko barab?s, viorica susanu, rodica serban, simona musat, ioana papuc	ROM	1
doina ignat, georgeta damian	ROM	1
doina ignat, liliana gafencu, elena georgescu, georgeta damian, vera cochelea, maria magdalena dumitrache, elisabeta lipa, ioana olteanu, viorica susanu	ROM	1
doina ignat, vera cochelea, anisoara dobre-balan, constanta burcica-pipota	ROM	1
doina melinte	ROM	2
domenico fioravanti	ITA	2
donald boal, earl eastwood, harry fry, joseph harris, cedric liddell, george macdonald, albert taylor, william thoburn, stanley stanyar	CAN	1
donald finlay	GBR	2
donald lippincott	USA	2
donald mckenzie	USA	1
donald smith, gary macdonald, stephen pickell, clay evans	CAN	1
dongxiang xu, wenyi huang	CHN	1
donna de varona	USA	1
donna de varona, kathleen ellis, sharon stouder, pokey watson	USA	1
donna gurr	CAN	1
donovan bailey	CAN	1
don quarrie	JAM	3
don schollander	USA	3
don thompson	GBR	1
dorian mortelette, benjamin rondeau, germain chardin, julien despr?s	FRA	1
dorothy hyman	GBR	2
dorothy manley	GBR	1
douglas bennett	CAN	1
douglas gjertsen, troy dalbey, matt cetlinski, matt biondi	USA	1
douglas lowe	GBR	2
douglas northway	USA	1
douglas russell	USA	1
douglas wakiihuri	KEN	1
dragos neagu, danut dobre	ROM	1
drew ginn, duncan free	AUS	1
drew ginn, james chapman, joshua dunkley-smith, william lockwood	AUS	1
drew ginn, nicholas green, mike mckay, james tomkins	AUS	1
dudley storey, dick tonks, noel mills, ross collinge	NZL	1
duje draganja	CRO	1
duke kahanamoku	USA	3
duncan armstrong	AUS	2
duncan free, janusz hooker, bo hanson, ron snook	AUS	1
duncan goodhew	GBR	1
duncan white	SRI	1
dwayne evans	USA	1
eamon sullivan	AUS	1
earl eby	USA	1
earl jones	USA	1
earl thomson	CAN	1
eckhard leue	GDR	1
ed coode, james cracknell, steve williams, matthew pinsent	GBR	1
eddie hart, larry black, robert taylor, gerald tinker	USA	1
eddie southern	USA	1
eddie tolan	USA	2
eddy ottoz	ITA	1
edith mcguire	USA	2
ed mckeever	GBR	1
ed moses	USA	1
eduardo guerrero, tranquilo cappozzo	ARG	1
eduardo risso	URU	1
edvin wide	SWE	4
edward lindberg	USA	1
edwin moses	USA	3
edwin roberts	TRI	1
edwin soi	KEN	1
eeke van nes, pieta van dishoeck	NED	1
eero berg	FIN	1
egil s?by, jan johansen, steinar amundsen, tore berger	NOR	1
egil s?by, steinar amundsen, tore berger, jan johansen	NOR	1
egon drews, wilfried soltau	GER	1
eino purje-borg	FIN	1
eirik larsen	NOR	2
eirik veraas larsen	NOR	1
ejigayehu dibaba	ETH	1
ekaterina karsten	BLR	1
ekaterina poistogova	RUS	1
ekaterini thanou	GRE	1
elaine tanner	CAN	2
elaine tanner, marion lay, marilyn corson, angela coughlan	CAN	1
elana meyer	RSA	1
eleanor garatti-saville	USA	2
eleanor holm	USA	1
elena lashmanova	RUS	1
elfi zinn	GDR	1
elia luini, leonardo pettinari	ITA	1
elias katz	FIN	1
elio ragni, orazio mariani, tullio gonnelli, gianni caldana	KIT	1
elisabeta lipa	ROM	1
elisabeta lipa, vera cochelea	ROM	1
elisabeta lipa, vera cochelea, anisoara dobre-balan	ROM	1
elisa rigaudo	ITA	1
elise laverick, anna bebington	GBR	1
eliud kipchoge	KEN	2
elizabeth beisel	USA	2
elizabeth davies	GBR	1
elizabeth mccolgan	GBR	1
elizabeth robinson	USA	1
elizabeth wagstaff, nicole haislett, megan kleine, crissy ahmann-leighton, jenny thompson, summer sanders, anita nall, lea loveless	USA	1
elke sehmisch, gabriele wetzko, kornelia ender, andrea eife	GDR	1
ellen fiedler	GDR	1
ellen king	GBR	1
ellen king, joyce cooper, cissie stewart, vera tanner	GBR	1
ellen streidt	GDR	1
ellen van langen	NED	1
ellie daniel	USA	3
ellie daniel, catie ball, kaye hall, susan pedersen	USA	1
elliott bunney, linford christie, mike mcfarlane, john regis	GBR	1
elodie ouedraogo, hanna marien, olivia borlee, kim gevaert	BEL	1
else jacobsen	DEN	1
elvan abeylegesse	TUR	2
elvira vasilkova	URS	1
emanuele merisi	ITA	1
emanuel silva, fernando piment	POR	1
emiel puttemans	BEL	1
emil breitkreutz	USA	1
emile champion	FRA	1
emilio lunghi	KIT	1
emily seebohm	AUS	1
emily silver, julia smit, dara torres, kara lynn joyce, lacey nymeyer, natalie coughlin	USA	1
emil z?topek	CZE	5
emmanuel bailey	GBR	1
enith brigitha	NED	2
enrique figuerola	CUB	1
enrique figuerola, hermes ramirez, pablo montes, juan morales	CUB	1
eric fish, robert kasting, william mahony, bruce robertson	CAN	1
erich borchmeyer, erwin gillmeister, wilhelm leichum, gerd hornberger	GER	1
erich borchmeyer, helmuth k?rnig, arthur jonath, fritz hendrix	GER	1
erich koschik	GER	1
erich rademacher	GER	1
erick barrondo	GUA	1
erick wainaina	KEN	2
eric liddell	GBR	2
eric murray, hamish bond	NZL	1
eric namesnik	USA	2
eric verdonk	NZL	1
erik backman	SWE	1
erik byl?hn	SWE	1
erik christiansen, lars nielsen, per rasmussen, michael jessen	DEN	1
erik elms?ter	SWE	1
erik hansen	DEN	2
erik vendt	USA	2
erkka wil?n	FIN	1
erminio dones, pietro annoni	KIT	1
ernesto ambrosini	KIT	1
ernesto canto	MEX	1
ernie harper	GBR	1
ernst fast	SWE	1
ernst hoppenberg	DEU	1
ernst schultz	DEN	1
ervin hall	USA	1
erwin sietas	GER	1
erzsebet viski, kinga bota, katalin kovacs, szilvia szabo	HUN	1
eshetu tura	ETH	1
eskild ebbesen, kasper winther, jacob barsoe, morten jorgensen	DEN	1
eskild ebbesen, thomas ebert, victor feddersen, soren madsen	DEN	1
ethelda bleibtrey	USA	1
ethel lackie	USA	1
ethel smith	CAN	1
etienne dagon	SUI	1
etienne gailly	BEL	1
euphrasia donnelly, ethel lackie, gertrude ederle, mariechen wehselau	USA	1
eva-maria ten elsen	GER	1
eva risztov	HUN	1
evelyn ashford	USA	2
evelyn kawamoto	USA	1
evelyn kawamoto, joan alderson, marilee stepan, jacqueline lavine	USA	1
everard butler	CAN	1
evgeny korotyshkin	RUS	1
evgeny lagunov, nikita lobintsev, mikhail polishchuk, danila izotov, alexander sukhorukov	RUS	1
ewa klobukowska	POL	1
ewa klobukowska, halina g?recka-richter, teresa ciepla, irena szewinska	POL	1
ezekiel kemboi	KEN	2
fabien gilot, amaury leveaux, clement lefert, yannick agnel	FRA	1
faith leech	AUS	1
falilat ogunkoya	NGR	1
fani halkia	GRE	1
fanny blankers-koen	NED	2
fanny durack	ANZ	1
fanny rosenfeld	CAN	1
fatuma roba	ETH	1
fay moulton	USA	1
federica pellegrini	ITA	2
felipe m??oz	MEX	1
felix sanchez	DOM	2
ferenc csik	HUN	1
ferenc moh?csi, k?roly wieland	HUN	1
ferenc novak, imre pulai	HUN	1
fermin cacho	ESP	2
fernanda ribeiro	POR	2
fernando scherer	BRA	1
fie udby erichsen	DEN	1
filbert bayi	TAN	1
filippo soffici, alessandro corona, gianluca farina, rossano galtarossa	ITA	1
fita bayissa	ETH	1
fita lovin	ROM	1
florence griffith-joyner	USA	3
florent manaudou	FRA	1
florian schwarthoff	GER	1
florin popescu, mitica pricop	ROM	1
ford konno	USA	2
ford konno, james mclane, wayne moore, william woolsey	USA	1
forrest smithson	USA	1
forrest towns	USA	1
foy draper, ralph metcalfe, jesse owens, frank wykoff	USA	1
francesco cossu, giliante d'este, antonio ghiardello, antonio garzoni provenzani	KIT	1
francesco la macchia, aldo dezzi	ITA	1
frances schroth	USA	1
frances schroth, ethelda bleibtrey, irene guest, margaret woodbridge	USA	1
francine fox, glorianne perrier	USA	1
francis amyot	CAN	1
francisco javier fernandez	ESP	1
francis hegerty, matthew ryan, james marburg, cameron mckenzie-mcharg	AUS	1
francis kerbiriou, gilles bertould, jacques carette, roger v?lasquez	FRA	1
francis lane	USA	1
francis obikwelu	POR	1
franjo mihalic	YUG	1
frank baltrusch	GDR	1
frank baumgartl	GDR	1
frank beaurepaire	ANZ	2
frank beaurepaire	AUS	2
frank beaurepaire, william herald, henry hay, ivan stedman	AUS	1
frank cuhel	USA	1
frank esposito	FRA	1
frank forberger, dieter grahn, dieter schubert, frank r?hle	GDR	1
frank greer	USA	1
frank hansen, svein th?gersen	NOR	1
frankie fredericks	NAM	4
frank jarvis	USA	1
frank loomis	USA	1
frank mckinney	USA	2
frank mckinney, lance larson, jeffrey farrell, paul hait	USA	1
frank pf?tze, detlev grabs, rainer strohbach, j?rg woithe	GDR	1
frank saker, harvey charters	CAN	1
frank schaffer	GDR	1
frank shorter	USA	2
frank waller	USA	2
frank wiegand	GER	1
frank wiegand, roland matthes, eugen henninger, horst-g?nter gregor	GDR	1
franziska van almsick	GER	3
franziska van almsick, hannah stockbauer, antje buschschulte, petra dallmann, janina g?tz	GER	1
franziska van almsick, sandra v?lker, simone osygus, kerstin kielga?, dagmar hase, meike freitag	GER	1
fr?d?ric delcourt	FRA	1
fred deburghgraeve	BEL	1
freddie lane	AUS	1
frederica van der goes, rhoda rennie, kathleen russell, marie bedford	SAF	1
frederick murray	USA	1
frederick pollard	USA	1
frederick schule	USA	1
frederick tyler, mark spitz, john kinsella, steven genter	USA	1
fred holman	GBR	1
fred kelly	USA	1
fred moloney	USA	1
fred newhouse	USA	1
fred newhouse, maxie parks, benjamin brown, herman frazier	USA	1
fred onyancha	KEN	1
fred schmidt	USA	1
fred schmidt, harold mann, steve clark, william craig	USA	1
friedhelm wentzke, berni schulze, g?nter perleberg, holger zander	GER	1
fritz bondroit, ewald tilker	GER	1
fritz hofmann	DEU	1
fritzi schwingl	AUT	1
gabi m?ller, sabine eichenberger, ingrid haralamow, daniela baumer	SUI	1
gabriela szabo	ROM	3
gabriella dorio	ITA	1
gabriella szab?, katalin kov?cs, danuta koz?k, natasa janics	HUN	1
gabriel tiacoh	CIV	1
gail devers	USA	2
gail neall	AUS	1
galen rupp	USA	1
galina alekseyeva-kreft, nina trofimova-gopova	URS	1
galina bukharina, lyudmila samotesova, vera popkova, lyudmila maslakova	URS	1
galina malchugina, lyudmila kondratyeva, natalya pomoshchnikova, marina zhirova	URS	1
galina stepanova-prozumenshchykova	URS	5
gamze bulut	TUR	1
garth manton, michael aikman, adrian monger, harold hewitt, james howden, walter howell, bryan doyle, angus benfield, david boykett	AUS	1
gary chapman	AUS	1
gary dilley	USA	1
gary gullock, paul reedy, anthony lovrich, timothy mclaren	AUS	1
gary hall	USA	3
gary hall jr.	USA	5
gary hall jr., ian crocker, nate dusing, jason lezak, michael phelps, gabe woodward, neil walker	USA	1
gary ilman, don schollander, michael austin, steve clark	USA	1
gary oakes	GBR	1
gaston delaplane	FRA	1
gaston giran, alfred pl?	FRA	1
gaston godel	SUI	1
gaston mercier, yves delacour, guy guillabert, ren? guissart	FRA	1
gaston reiff	BEL	1
gaston roelants	BEL	1
gaston strobino	USA	1
geert jan derksen, gerritjan eggenkamp, jan-willem gabriels, chun wei cheung, michiel bartman, matthijs vellenga, gijs vermeulen, diederik simon, daniel mensch	NED	1
geertje wielema	NED	1
gelindo bordin	ITA	1
gennady bukarin	URS	1
gennady korshikov, aleksandr timoshinin	URS	1
gennady prigoda	URS	1
geoff huegill	AUS	1
geoff stewart, james stewart, ben dodwell, bo hanson	AUS	1
george bovell	TRI	1
george breen	USA	3
george breen, richard hanley, ford konno, william woolsey	USA	1
george bridgewater, nathan twaddle	NZL	1
george dicarlo	USA	2
george dietz, august erker, albert nasse, arthur stockhoff	USA	1
george harrison, richard blick, jeffrey farrell, michael troy	USA	1
george hodgson	CAN	2
george hungerford, roger jackson	CAN	1
george hutson	GBR	1
george kerr	BWI	1
george kerr, keith gardner, james wedderburn, malcolm spence	BWI	1
george kojac	USA	1
george mackay, archibald black, colin finlayson, william wood	CAN	1
george nash, william satch	GBR	1
george orton	CAN	1
george poage	USA	1
george rhoden	JAM	1
george rhoden, arthur wint, herb mckenley, leslie laing	JAM	1
george saling	USA	1
georges dransart, georges gandil	FRA	1
george simpson	USA	1
georges piot, maurice bouton	FRA	1
georges vallerey	FRA	1
georgeta damian, viorica susanu	ROM	1
george vernot	CAN	2
george young	USA	1
georgina bardach	ARG	1
georg lammers	GER	1
georgy prokopenko	URS	1
gerald ashworth, paul drayton, bob hayes, richard stebbins	USA	1
gerard nijboer	NED	1
gerhard boetzelen, herbert buhtz	GER	1
gerhard hennige	FRG	1
gerhard hetz	GER	1
gerhard hetz, hans-joachim klein, uwe jacobsen, horst-g?nter gregor, frank wiegand	GER	1
germain chardin, dorian mortelette	FRA	1
gert fredriksson	SWE	4
gert fredriksson, sven-olof sj?delius	SWE	1
gertrude ederle	USA	2
gertrude liebhart	AUT	1
gete wami	ETH	3
gezahgne abera	ETH	1
gheorghe simionov, gheorghe danilov	ROM	1
giancarlo crosta, renato bosatta, tullio baraglia, giuseppe galante	ITA	1
gilbert bozon	FRA	1
giovanni calabrese, nicola sartori	ITA	1
giovanni de benedictis	ITA	1
gisela arendt	GER	1
giuseppe moioli, elio morille, giovanni invernizzi, franco faggi	ITA	1
giuseppina leone	ITA	1
gladys carson	GBR	1
glen housman	AUS	1
glenn beringen	AUS	1
glenn buchanan	SUR	1
glenn cunningham	USA	1
glenn davis	USA	2
glenn davis, otis davis, jack yerman, earl young	USA	1
glenn hardin	USA	2
glenroy gilbert, robert esmie, donovan bailey, bruny surin	CAN	1
gloria siebert	GDR	1
glory alozie	NGR	1
?gnes kov?cs	HUN	2
g?nther pfaff, gerhard seibold	AUT	1
godfrey brown	GBR	1
godfrey brown, godfrey rampling, william roberts, freddie wolff	GBR	1
gordon pirie	GBR	1
gottfried kottmann	SUI	1
grace jackson	JAM	1
graeme brewer	AUS	1
graeme smith	GBR	1
graham windeatt	AUS	1
g?ran larsson	SWE	1
grant davies	AUS	1
grant hackett	AUS	4
grant hackett, michael klim, todd pearson, antony matkovich, nicholas sprenger, craig stevens, ian thorpe	AUS	1
grant hackett, nick ffrost, leith brodie, grant brits, patrick murphy, kirk palmer	AUS	1
grantley goulding	GBR	1
g?rard blitz	BEL	1
gratsian botev, pavel kharin	URS	1
greg barton	USA	3
greg barton, norman bellingham	USA	1
greg foster	USA	1
greg haughton	JAM	1
gregor hradetzky	AUT	1
gregory brough	AUS	1
gregory buckingham	USA	1
gregory burgess	USA	1
gregory fasala, michael delany, neil brooks, mark stockwell	AUS	1
gregory rogers, robert windle, graham white, michael wenden	AUS	1
greta andersen	DEN	1
greta andersen, fritze carstensen-nathansen, karen harup, eva riise-arndt	DEN	1
grete waitz	NOR	1
grigore obreja, gheorghe andriev	ROM	1
grzegorz kotowicz, dariusz bialkowski	POL	1
g?te hagstr?m	SWE	1
guanliang meng, wenjun yang	CHN	1
gudrun beckmann, jutta weber, heidemarie reineck, angela steinbach	FRG	1
gudrun wegner	GDR	1
guillaume leblanc	CAN	1
guillermo del riego, herminio men?ndez	ESP	1
guillermo douglas	URU	1
gunhild hoffmeister	GDR	3
gunnar h?ckert	FIN	1
gunnar larsson	SWE	2
gunnar olsson, karl sundqvist	SWE	1
gunnar utterberg, sven-olof sj?delius	SWE	1
gustav jansson	SWE	1
gustavo fran?a borges	BRA	3
gustavo fran?a borges, carlos jayme, fernando scherer, edvaldo silva filho	BRA	1
gustav sch?fer	GER	1
guy butler	GBR	2
guy butler, edward toms, george renwick, richard ripley, cecil griffiths, robert lindsay, john ainsworth-davis, guy butler	GBR	1
guy drut	FRA	2
gwendoline porter, eileen hiscock, nellie halstead, violet webb	GBR	1
gwen torrence	USA	2
gwen torrence, carlette guidry, esther jones, evelyn ashford	USA	1
gyorgy kozmann, gy?rgy kolonics	HUN	1
gy?rgy kolonics	HUN	1
gy?rgy mitr?	HUN	1
gy?rgy mitr?, imre ny?ki, g?za k?das, elem?r szathm?ry	HUN	1
gy?rgy m?sz?ros, andr?s szente	HUN	1
gy?rgy sarl?s, antal melis, zolt?n melis, j?zsef csermely	HUN	1
gy?rgy tumpek	HUN	1
gy?rgy zala	HUN	2
gyula kellner	HUN	1
gyula petrikovics, tam?s wichmann	HUN	1
g?za csap?	HUN	2
g?za k?das	HUN	1
habiba ghribi	TUN	1
hadi souan somayli	KSA	1
haile gebrselassie	ETH	2
haley anderson	USA	1
halimat ismaila, franca idoko, gloria kemasuode, oludamola osayomi, agnes osazuwa	NGR	1
halina g?recka-richter, teresa ciepla, barbara janiszewska, celina jesionowska	POL	1
hannelore anke	GDR	1
hannes kolehmainen	FIN	3
hanns braun	DEU	2
hanny termeulen	NED	1
hanny termeulen, koosje van voorn, marie-louise linssen-vaessen, irma heijting-schuhmacher	NED	1
hans berglund, lennart klingstr?m	SWE	1
hans dam	DEN	1
hans fa?nacht, werner lampe, hans-g?nter vosseler, klaus steinbach	FRG	1
hans-georg reimann	GDR	2
hans grodotzki	GER	2
hans-joachim hannemann, heinz kaufmann, hans kuschke, herbert schmidt, werner loeckle, wilhelm mahlow, helmut radach, alfred rieck, gerd v?ls	GER	1
hans-joachim klein	GER	1
hans-joachim klein, horst l?ffler, frank wiegand	GER	1
hansj?rg kunze	GDR	1
hans kalt, josef kalt	SUI	1
hans kalt, kurt schmid	SUI	1
hansle parchment	JAM	1
hans magnus grepperud, sverre l?ken	NOR	1
hans maier, karl aletter, walter flinsch, ernst gaber	GER	1
hanson, viinberg, guloien, wilkinson, mastracci, brzozowicz, marquardt, morin, thompson-willie	CAN	1
hans sennewald, thorsten streppelhoff, bahne rabe, frank richter, detlef kirchhoff, manfred klein, armin eichholz, roland baar, ansgar wessling	GER	1
hans walter, emile albrecht, alfred probst, eugen sigg-b?chthold	SUI	1
harald julin	SWE	1
harald norpoth	GER	1
harald schmid	FRG	1
harald schmid, lothar krieg, bernd herrmann, franz-peter hofmeister	FRG	1
harold abrahams	GBR	1
harold barker, john fenning, philip filleul, gordon thomson, albertus wielsma, geoffrey taylor, hermanus h?fte, charles riddy, becher robert gale, bernardus croon, gordon balfour, johan burk	NED	1
harold barron	USA	1
harold hardwick	ANZ	2
harold west, arthur sulley, guy nickalls, gordon killick, harold lane, jack beresford, john badcock, donald gollan, james hamilton	GBR	1
harold whitlock	GBR	1
harold wilson	GBR	1
harrison dillard	USA	2
harrison dillard, barney ewell, melvin patton, lorenzo wright	USA	1
harrison dillard, lindy remigino, andy stanfield, dean smith	USA	1
harry blackstaffe	GBR	1
harry davel, bevil rudd, clarence oldfield, jack oosterlaak	SAF	1
harry edward	GBR	2
harry hebner	USA	1
harry hebner, ken huszagh, perry mcgillivray, duke kahanamoku	USA	1
harry hillman	USA	3
harry jerome	CAN	1
harry larva	FIN	1
harry lott, frank schell, louis abell, michael gleason, john exley, james flanagan, frederick cresser, joseph dempsey, charles armstrong	USA	1
hartwig gauder	GDR	2
harvey glance, millard hampton, john jones, steven riddick	USA	1
hasely crawford	TRI	1
hasna benhassi	MAR	2
hassiba boulmerka	ALG	1
hayden stoeckel	AUS	1
hayes jones	USA	2
hayley lewis	AUS	2
heather armitage, june foulds-paul, anne pashley, jean scrivens	GBR	1
heather hunte, sonia lannaman, beverley goddard-callender, kathryn smallwood-cook	GBR	1
heather stanning, helen glover	GBR	1
hec hogan	AUS	1
heidemarie reineck, silke pielen, gudrun beckmann, vreni eberle	FRG	1
heidemarie reineck, uta frommater, angelika kraus, heike hustede	FRG	1
heide rosendahl, annegret richter, christiane krause, ingrid mickler-becker	FRG	1
heike d?hne	GDR	1
heike drechsler	GDR	2
heike friedrich	GDR	2
heike schulte-mattler, ute thimm, heide-elke gaugel, gaby bu?mann	FRG	1
heini thoma, rudolf bosshard	SUI	1
heinz b?ker, holger zander	GER	1
heinz ulzheimer	GER	1
heinz ulzheimer, g?nther steines, hans geister, karl-friedrich haas	GER	1
helene madison	USA	2
helen gordon	GBR	1
helen johns, eleanor garatti-saville, helene madison, josephine mckim	USA	1
helen stephens	USA	1
helen stephens, annette rogers, elizabeth robinson, harriet bland	USA	1
helen varcoe, edna hughes, joyce cooper, elizabeth davies	GBR	1
helen wainwright	USA	1
helga klein, ursula knab, marie sander, marga petersen	GER	1
helga lindner	GDR	1
helge halkj?r, aksel hansen, ib storm larsen, helge schr?der	DEN	1
helmut c?mmerer	GER	1
helmuth k?rnig	GER	1
henk-jan zwolle, nico rienks	NED	1
henning jakobsen	DEN	2
henri barrelet	FRA	1
henri deloge	FRA	1
henri eberhardt	FRA	1
henri jan wienese	NED	1
henrik nilsson, markus oscarsson	SWE	2
henri tauzin	FRA	1
henry carr	USA	1
henry eriksson	SWE	1
henry jonsson	SWE	1
henry stallard	GBR	1
henry taylor	GBR	4
henry taylor, edward peter, harold annison, leslie savage	GBR	1
herb elliott	AUS	1
herbert haresnape	GBR	1
herbert jamison	USA	1
herbert klein	GER	1
herbert schade	GER	1
herb mckenley	JAM	3
herman frazier	USA	1
herman groman	USA	1
hermann betschart, hans homberger, alex homberger, karl schmid	SUI	1
hermann engelhard	GER	1
hermann engelhard, otto neumann, richard krebs, harry storz	GER	1
hermine stindt, louise otto, grete rosenberg, vally dressel	DEU	1
herminio men?ndez, luis miguez	ESP	1
hezekiah nyamau, daniel rudisha, charles asati, naftali bon	KEN	1
hezekiel sepeng	RSA	1
hicham el guerrouj	MAR	3
hideko maehata	JPN	2
hilda strike	CAN	1
hilda strike, mary frizzel, mildred frizzel, lillian palmer	CAN	1
hildegard falck	FRG	1
hilde lauer	ROM	1
hilde schrader	GER	1
hiroshi suzuki	JPN	1
hisayoshi sato, junichi miyashita, kosuke kitajima, takuro fujii	JPN	1
h?kan malmroth	SWE	1
hong qian	CHN	2
horace ashenfelter	USA	1
horacio podest?, julio curatella	ARG	1
horatio fitch	USA	1
horst-g?nter gregor, eugen henninger, hans-joachim klein, ernst-joachim k?ppers	GER	1
howard valentine	USA	1
huali lu, xiaoli gu	CHN	1
hugh edwards, jack beresford, john badcock, roland george	GBR	1
hugh fisher, alwyn morris	CAN	1
hugo kusick	EST	1
hugo strau?, willi eichhorn	GER	1
hugues duboscq	FRA	3
huina xing	CHN	1
ian crocker	USA	1
ian crocker, brendan hansen, mark gangloff, jason lezak, lenny krayzelburg, aaron peirsol, michael phelps, neil walker	USA	1
ian ferguson	NZL	1
ian ferguson, grant bramwell, paul macdonald, alan thompson	NZL	1
ian ferguson, paul macdonald	NZL	2
ian o'brien	AUS	1
ian o'brien, david dickson, kevin berry, peter reynolds	AUS	1
ian stewart	GBR	1
ian thorpe	AUS	5
ian thorpe, todd pearson, daniel kowalski, michael klim, william kirby, grant hackett	AUS	1
ian wynne	GBR	1
ib ivan larsen, peter christiansen	DEN	1
ibrahim rojas, ledys frank balceiro	CUB	1
igor buldakov, viktor ivanov	URS	1
igor francetic, tihomir frankovic, igor boraska, kresimir culjak, branimir vujevic, niksa skelin, sinisa skelin, tomislav smoljanovic, silvijo petrisko	CRO	1
igor pisarev	URS	1
igor polyansky	URS	2
igor yemchuk, georgy zhilin	URS	1
ileana silai	ROM	1
ilmari salminen	FIN	1
ilse kaschube, petra grabowski	GDR	1
ilya markov	RUS	1
imre farkas, andr?s istv?n t?r?	HUN	1
imre pulai	HUN	1
imre sz?ll?si	HUN	1
imre sz?ll?si, csaba giczi, istv?n csizmadia, istv?n tim?r	HUN	1
ina beyermann	FRG	1
ina beyermann, ute hasse, karin seick, svenja schlicht	FRG	1
ina kleber	GDR	1
ines diers	GDR	4
ines diers, sarina h?lsenbeck, barbara krause, caren metschuck	GDR	1
ines gei?ler	GDR	1
inga gentzel	SWE	1
inge de bruijn	NED	6
inge dekker, femke heemskerk, ranomi kromowidjojo, manon van rooijen, marleen veldhuis, hinkelien schreuder	NED	1
inge dekker, marleen veldhuis, femke heemskerk, ranomi kromowidjojo	NED	1
inge helten	FRG	1
inge helten, annegret kroninger, annegret richter, elvira po?ekel	FRG	1
inge s?rensen	DEN	1
ingo spelly, olaf heukrodt	GDR	1
ingo spelly, ulrich papke	GER	1
ingrid lange-auerswald	GDR	1
ingrid lange-auerswald, marlies g?hr-oelsner, romy m?ller, b?rbel w?ckel-eckert	GDR	1
ingrid lempereur	BEL	1
ingrid schmidt, b?rbel fuhrmann, ursula brunner, ursula k?per	GER	1
ingvar pettersson	SWE	1
inna frolova, antonina dumcheva, irina kalimbet, svetlana mazy	URS	1
inna frolova, olena ronzhina, diana miftakhutdinova, svetlana mazy	UKR	1
inna osypenko	UKR	3
innocent egbunike, rotimi peters, moses ugbusie, sunday uti	NGR	1
ion birladeanu	ROM	1
ionela tirlea-manolache	ROM	1
ira davenport	USA	1
irena szewinska	POL	5
irene eijs, eeke van nes	NED	1
irene guest	USA	1
irina nazarova, tatyana prorochenko, tatyana goyshchik, nina zyuskova	URS	1
irina privalova	RUS	1
irina privalova	URS	1
irnya lishchynska	UKR	1
isabella ochichi	KEN	1
ismail ahmedismail	SUD	1
istv?n b?r?ny	HUN	1
istv?n b?r?ny, l?szl? szabados, andr?s sz?kely, andr?s wani?	HUN	1
istv?n hernek	HUN	1
istv?n jo?s, istv?n szab?	HUN	1
istv?n r?zsav?lgyi	HUN	1
iuliia efimova	RUS	1
ivan belyaev	URS	1
ivan burchin, fedya damyanov	BUL	1
ivan garcia, jose angel cesar, luis alberto perez, freddy mayola	CUB	1
ivano brugnetti	ITA	1
