Athlete	CountryCode	Medals
anders holmertz, lars fr?lander, tommy werner, christer wallin	SWE	1
andrea gyarmati	HUN	2
andrea pollack	GDR	3
andrea pollack, claudia hempel, kornelia ender, petra priemer	GDR	1
andrea pollack, hannelore anke, kornelia ender, ulrike richter	GDR	1
andreas dittmer	GER	4
andreas dittmer, gunar kirchbach	GER	1
andreas hajek, andr? steiner, stephan volkert, andr? willms	GER	1
andreas ihle, martin hollstein	GER	1
andreas st?hle	GDR	1
andreas szigat, christian tr?ger, mark pinger, dirk richter, jonathon cleveland, steffen zesner, bengt zikarsky	GER	1
andrei igorov	ROM	1
andre phillips	USA	1
andrew byrnes, kyle hamilton, malcolm howard, adam kreek, ben rutledge, brian price, kevin light, jake wetzel, dominic sieterle	CAN	1
andrew charlton	AUS	4
andrew charlton, maurice christie, frank beaurepaire, ernest henry	AUS	1
andrew jameson	GBR	1
andrew lauterstein	AUS	1
andrew lauterstein, patrick murphy, ashley callus, leith brodie, eamon sullivan, matt targett	AUS	1
andrew triggs-hodge, steve williams, peter reed, tom james	GBR	1
andrew trim, danny collins	AUS	1
andrey bogdanov, sergey koplyakov, andrey krylov, vladimir raskatov	URS	1
andrey grechin, danila izotov, nikita lobintsev, vladimir morozov	RUS	1
andrey korneyev	RUS	1
andrey krylov	URS	2
andrey perlov	URS	1
andrey smirnov	URS	1
andr? gaudin	FRA	1
andrian dushev, milko kazanov	BUL	1
andriy serdinov	UKR	1
andr?s hargitay	HUN	1
andr? silva, arnaldo silva, edson ribeiro, robson da silva	BRA	1
andr? wohllebe	GDR	1
andr? wohllebe, andreas st?hle, hans-j?rg bliesener, kay bluhm	GDR	1
andrzej badewski	POL	1
andrzej gronowicz, jerzy opara	POL	1
andrzej zieliwski, wieslaw maniak, marian foik, marian dudziak	POL	1
andy holmes, steven redgrave	GBR	1
andy stanfield	USA	2
aneta konieczna, beata mikolajczyk	POL	1
aneta pastuszka, beata sokolowska	POL	2
anette r?ckes, rita wilden, hildegard falck, inge b?dding	FRG	1
anett schuck, manuela mucke, birgit fischer, katrin wagner	GER	1
angela alupei, constanta burcica-pipota	ROM	1
angela bailey, france gareau, angella taylor, marita payne	CAN	1
angela kennedy, helen denman, samantha riley, sarah ryan, nicole stevenson, susan o'neill	AUS	1
angel martino	USA	3
angelo taylor	USA	2
angelo taylor, tony mcquay, bryshon nellum, joshua mance	USA	1
anier garcia	CUB	2
anita lonsbrough	GBR	1
anita nall	USA	2
anke m?hring	GDR	1
anna olsson, susanne rosenqvist, maria haglund, agneta andersson	SWE	1
anna pfeffer	HUN	1
