cityblock,chebychev,euclidean,minkowski
0.050966608084359,0.0773286467486826,0.0492091388400707,0.0474516695957825
0.036906854130053,0.0615114235500884,0.0544815465729354,0.0527240773286472
0.0263620386643236,0.0544815465729354,0.0316344463971883,0.0281195079086118
0.0351493848857648,0.0597539543058002,0.0281195079086118,0.0421792618629178
0.036906854130053,0.050966608084359,0.0298769771529001,0.0316344463971883
0.0333919156414766,0.0544815465729354,0.0333919156414766,0.0316344463971883
0.0333919156414766,0.0597539543058002,0.0351493848857648,0.0351493848857648
0.036906854130053,0.0615114235500884,0.0351493848857648,0.0316344463971883
0.0333919156414766,0.0650263620386649,0.0333919156414766,0.0316344463971883
0.0333919156414766,0.0632688927943766,0.0316344463971883,0.0333919156414766
0.0386643233743413,0.0615114235500884,0.0333919156414766,0.0298769771529001
0.0386643233743413,0.0650263620386649,0.036906854130053,0.0351493848857648
0.036906854130053,0.0650263620386649,0.0351493848857648,0.0351493848857648
0.043936731107206,0.0615114235500884,0.0421792618629178,0.036906854130053
0.0404217926186295,0.0667838312829531,0.0404217926186295,0.0404217926186295
0.043936731107206,0.0650263620386649,0.0404217926186295,0.0351493848857648
0.0456942003514942,0.0632688927943766,0.0386643233743413,0.043936731107206
0.0421792618629178,0.0615114235500884,0.043936731107206,0.0386643233743413
0.0456942003514942,0.0650263620386649,0.0421792618629178,0.043936731107206
0.0492091388400707,0.0720562390158178,0.043936731107206,0.0404217926186295
0.0492091388400707,0.0615114235500884,0.043936731107206,0.0421792618629178
0.050966608084359,0.0632688927943766,0.0456942003514942,0.0421792618629178
0.0474516695957825,0.0702987697715296,0.0456942003514942,0.0421792618629178
0.043936731107206,0.0667838312829531,0.0456942003514942,0.0474516695957825
0.0492091388400707,0.0615114235500884,0.043936731107206,0.0474516695957825
0.0492091388400707,0.0702987697715296,0.0474516695957825,0.0456942003514942
0.0474516695957825,0.0720562390158178,0.043936731107206,0.043936731107206
0.0456942003514942,0.0790861159929708,0.0474516695957825,0.0492091388400707
0.0456942003514942,0.0755711775043943,0.0492091388400707,0.050966608084359
0.050966608084359,0.0790861159929708,0.050966608084359,0.0456942003514942
