gaussian,polynomial,linear
0.330985915492958,0.119718309859155,0.330985915492958
0.330985915492958,0.0774647887323945,0.330985915492958
0.330985915492958,0.0492957746478874,0.0845070422535213
0.330985915492958,0.0492957746478874,0.0492957746478874
0.330985915492958,0.0563380281690142,0.0281690140845071
0.330985915492958,0.0492957746478874,0.0316901408450705
0.330985915492958,0.045774647887324,0.0422535211267606
0.330985915492958,0.0422535211267606,0.0246478873239437
0.330985915492958,0.0528169014084508,0.0281690140845071
0.330985915492958,0.0387323943661972,0.0352112676056339
0.330985915492958,0.0492957746478874,0.0316901408450705
