	ratings
1	60
2	10
3	60
4	50
5	10
6	10
7	50
8	100
9	50
10	60
11	100
12	50
13	100
14	60
15	50
16	100
17	5
18	35
19	10
20	10
21	30
22	5
23	30
24	10
25	5
26	5
27	25
28	60
29	5
30	20
31	10
32	30
33	20
34	50
35	60
36	60
37	90
38	90
39	80
40	90
41	100
42	100
43	80
44	100
45	100
46	100
47	100
48	100
49	14
50	20
51	40
52	40
53	35
54	20
55	50
56	40
57	50
58	40
59	40
60	80
61	100
62	100
63	100
64	100
65	0
66	10
67	30
68	40
69	20
70	0
71	30
72	20
73	10
74	40
75	30
76	70
77	30
78	60
79	50
80	100
81	11
82	14
83	42
84	67
85	31
86	26
87	69
88	49
89	45
90	70
91	52
92	78
93	50
94	46
95	45
96	100
97	50
98	50
99	50
100	50
101	50
102	50
103	50
104	85
105	50
106	50
107	50
108	95
109	50
110	50
111	50
112	100
113	10
114	13
115	32
116	28
117	41
118	36
119	45
120	62
121	50
122	56
123	53
124	74
125	50
126	50
127	66
128	100
129	23
130	0
131	13
132	39
133	14
134	10
135	50
136	69
137	34
138	22
139	28
140	92
141	74
142	33
143	50
144	100
145	0
146	0
147	25
148	50
149	20
150	20
151	55
152	75
153	25
154	60
155	30
156	85
157	35
158	30
159	70
160	100
161	10
162	20
163	15
164	0
165	51
166	9
167	40
168	35
169	11
170	37
171	20
172	70
173	75
174	100
175	27
176	100
177	35
178	0
179	55
180	50
181	0
182	0
183	60
184	70
185	5
186	50
187	10
188	100
189	20
190	30
191	70
192	100
193	0
194	0
195	40
196	0
197	12
198	8
199	55
200	10
201	14
202	15
203	73
204	86
205	80
206	100
207	75
208	100
209	12
210	0
211	32
212	64
213	18
214	12
215	52
216	68
217	49
218	75
219	51
220	87
221	90
222	92
223	98
224	99
225	18
226	53
227	39
228	19
229	45
230	17
231	30
232	19
233	21
234	9
235	25
236	25
237	7
238	15
239	7
240	35
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	54
256	100
257	10
258	25
259	50
260	25
261	65
262	55
263	65
264	77
265	51
266	68
267	85
268	85
269	100
270	100
271	100
272	100
273	10
274	20
275	15
276	25
277	50
278	60
279	70
280	60
281	65
282	75
283	65
284	85
285	100
286	100
287	100
288	100
289	0
290	7
291	14
292	5
293	24
294	5
295	52
296	65
297	9
298	39
299	77
300	89
301	75
302	78
303	70
304	90
305	0
306	0
307	0
308	0
309	9
310	9
311	9
312	70
313	8
314	37
315	0
316	26
317	19
318	11
319	95
320	61
321	1
322	4
323	55
324	78
325	19
326	15
327	71
328	86
329	10
330	62
331	28
332	92
333	44
334	35
335	73
336	100
337	0
338	10
339	10
340	0
341	30
342	0
343	50
344	10
345	27
346	35
347	30
348	60
349	25
350	100
351	75
352	100
353	0
354	0
355	0
356	25
357	0
358	0
359	0
360	30
361	0
362	0
363	0
364	80
365	0
366	0
367	0
368	100
369	15
370	10
371	30
372	28
373	30
374	10
375	41
376	48
377	29
378	36
379	17
380	50
381	99
382	100
383	100
384	100
385	0
386	0
387	0
388	0
389	25
390	0
391	25
392	0
393	0
394	0
395	25
396	80
397	0
398	100
399	0
400	100
401	0
402	0
403	0
404	83
405	0
406	0
407	0
