 	  transaction 	 id 	 panelist 	 store 	 week 	 day 	 brand_choice 	 last 	 units 	 spend 	 inv 	 brand 	 choice 	 price 	 feature 	 display 	 educ 	 size 	 mret 	 fret 	 mwork 	 fwork 	 income 	 n1 	 n2 	 n3 	 n4 	 n5
29 15 	   9 14102160  1422 642 3 3 4  2  12.36   1.843 	2 	0 	1.69 	0.00 	0.00 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
30 15 	   9 14102160  1422 642 3 3 4  2  12.36   1.843 	3 	1 	0.99 	0.96 	0.96 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
31 16 	   9 14102160  1422 655 1 3 3  2   6.77   1.304 	2 	0 	1.99 	0.00 	0.00 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
32 16 	   9 14102160  1422 655 1 3 3  2   6.77   1.304 	3 	1 	1.05 	0.00 	0.00 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
33 17 	   9 14102160  1424 662 7 4 3  1   5.64   2.096 	2 	0 	0.99 	1.00 	0.00 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
34 17 	   9 14102160  1424 662 7 4 3  1   5.64   2.096 	4 	1 	0.99 	1.00 	0.00 	6 	2 	1 	1 	0 	0 	30000 	0 	0 	0 	4 	0 	
35 18 	  12 14103150  1422 642 7 3 0  1   6.36  -0.710 	2 	0 	1.69 	0.00 	0.00 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
36 18 	  12 14103150  1422 642 7 3 0  1   6.36  -0.710 	3 	1 	0.99 	0.96 	0.96 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
37 19 	  12 14103150  1422 674 1 3 3  1  13.34  -0.608 	2 	0 	1.98 	0.00 	0.00 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
38 19 	  12 14103150  1422 674 1 3 3  1  13.34  -0.608 	3 	1 	1.49 	0.00 	0.96 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
39 20 	  12 14103150  1422 689 2 3 3  1  11.68  -0.045 	2 	0 	1.99 	0.00 	0.00 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
40 20 	  12 14103150  1422 689 2 3 3  1  11.68  -0.045 	3 	1 	0.79 	1.00 	0.00 	6 	1 	0 	0 	0 	1 	30000 	0 	0 	0 	0 	0 	
41 21 	  14 14103499  1423 647 4 2 2  1  18.60  -0.390 	2 	1 	1.99 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
42 21 	  14 14103499  1423 647 4 2 2  1  18.60  -0.390 	4 	0 	1.69 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
43 22 	  14 14103499  1424 652 4 2 2  1  25.05   0.033 	2 	1 	1.89 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
44 22 	  14 14103499  1424 652 4 2 2  1  25.05   0.033 	4 	0 	1.49 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
45 23 	  14 14103499  1423 663 6 2 2  1  15.14  -0.269 	2 	1 	1.99 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
46 23 	  14 14103499  1423 663 6 2 2  1  15.14  -0.269 	4 	0 	1.59 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
47 24 	  14 14103499  1423 683 6 2 2  1   4.97  -1.577 	2 	1 	1.99 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
48 24 	  14 14103499  1423 683 6 2 2  1   4.97  -1.577 	4 	0 	1.59 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
49 25 	  14 14103499  1423 688 4 2 2  1  24.63  -1.121 	2 	1 	1.59 	1.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
50 25 	  14 14103499  1423 688 4 2 2  1  24.63  -1.121 	4 	0 	1.59 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
51 26 	  14 14103499  1423 691 3 2 2  1  37.58  -0.450 	2 	1 	1.99 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
52 26 	  14 14103499  1423 691 3 2 2  1  37.58  -0.450 	4 	0 	1.59 	0.00 	0.00 	5 	1 	0 	1 	0 	0 	75000 	0 	3 	0 	0 	0 	
53 27 	  16 14103697  1424 654 6 4 2  2 117.61  -0.938 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
54 27 	  16 14103697  1424 654 6 4 2  2 117.61  -0.938 	4 	1 	0.88 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
55 28 	  16 14103697  1424 657 6 2 4  1 129.39   0.254 	2 	1 	1.59 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
56 28 	  16 14103697  1424 657 6 2 4  1 129.39   0.254 	4 	0 	1.59 	0.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
57 29 	  16 14103697  1424 662 6 4 2  1  44.44  -0.092 	2 	0 	0.99 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
58 29 	  16 14103697  1424 662 6 4 2  1  44.44  -0.092 	4 	1 	0.99 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
59 30 	  16 14103697  1424 662 7 4 4  1  32.80   0.869 	2 	0 	0.99 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
60 30 	  16 14103697  1424 662 7 4 4  1  32.80   0.869 	4 	1 	0.99 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
61 31 	  16 14103697  1424 689 6 4 4  2  51.03  -0.938 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
62 31 	  16 14103697  1424 689 6 4 4  2  51.03  -0.938 	4 	1 	0.88 	1.00 	0.00 	7 	1 	0 	0 	0 	1 	40000 	0 	1 	0 	6 	0 	
63 32 	  18 14103887  1422 667 5 2 0  1  39.40  -0.433 	2 	1 	0.99 	1.00 	1.00 	4 	1 	0 	0 	0 	1 	50000 	0 	0 	0 	0 	0 	
64 32 	  18 14103887  1422 667 5 2 0  1  39.40  -0.433 	3 	0 	1.09 	0.00 	0.00 	4 	1 	0 	0 	0 	1 	50000 	0 	0 	0 	0 	0 	
65 33 	  21 14105031  1422 654 4 3 3  1  62.62  -0.073 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
66 33 	  21 14105031  1422 654 4 3 3  1  62.62  -0.073 	3 	1 	0.89 	0.98 	0.98 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
67 34 	  21 14105031  1422 655 1 3 3  1   6.50   0.861 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
68 34 	  21 14105031  1422 655 1 3 3  1   6.50   0.861 	3 	1 	1.05 	0.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
69 35 	  21 14105031  1422 688 3 3 3  1  18.79  -1.391 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
70 35 	  21 14105031  1422 688 3 3 3  1  18.79  -1.391 	3 	1 	0.99 	1.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
71 36 	  21 14105031  1422 689 3 3 3  1  22.18  -0.507 	2 	0 	1.99 	0.00 	0.00 	7 	1 	0 	0 	0 	0 	5000 	0 	0 	3 	0 	0 	
